Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
363-U1482B-1H-1-A,0,5,0.0,0.05,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,7.5YR 7/4 (pink),slight [DB86],,,,,,radiolaria (smear slide),,,,,,,,,,,,,363,U1482,B,1,H,1,A,,,,,
363-U1482B-1H-1-A,5,6,0.05,0.06,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,7.5YR 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,1,A,,,,,
363-U1482B-1H-1-A,6,14,0.06,0.14,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10YR 7/3 (very pale brown),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,1,A,,,,,
363-U1482B-1H-1-A,14,72,0.14,0.72,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,1,A,,,,,
363-U1482B-1H-1-A,72,97,0.72,0.97,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,1,A,,,,,
363-U1482B-1H-1-A,97,150,0.97,1.5,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,1,A,,,,,
363-U1482B-1H-2-A,0,150,1.49,2.99,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,2,A,,,,,
363-U1482B-1H-3-A,0,35,2.99,3.34,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,3,A,,,,,
363-U1482B-1H-3-A,35,41,3.34,3.4,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,3,A,,,,,
363-U1482B-1H-3-A,41,74,3.4,3.73,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,3,A,,,,,
363-U1482B-1H-3-A,74,108,3.73,4.07,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 5/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,3,A,,,,,
363-U1482B-1H-3-A,108,150,4.07,4.49,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,3,A,,,,,
363-U1482B-1H-4-A,0,58,4.49,5.07,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 7/2 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,4,A,,,,,
363-U1482B-1H-4-A,58,106,5.07,5.55,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,4,A,,,,,
363-U1482B-1H-4-A,106,131,5.55,5.8,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10GY 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,4,A,,,,,
363-U1482B-1H-4-A,131,138,5.8,5.87,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 5/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,4,A,,,,,
363-U1482B-1H-CC-A,0,20,5.87,6.07,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 5/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,1,H,CC,A,,,,,
363-U1482B-2H-1-A,0,14,6.1,6.24,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 5/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,2,H,1,A,,,,,
363-U1482B-2H-1-A,14,82,6.24,6.92,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 5/1 (gray),slight [DB86],,,,,,Drilling disturbance,,,,,,,,,,,,,363,U1482,B,2,H,1,A,,,,,
363-U1482B-2H-1-A,82,150,6.92,7.6,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,2,H,1,A,,,,,
363-U1482B-2H-2-A,0,57,7.6,8.17,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,2,H,2,A,,,,,
363-U1482B-2H-2-A,57,108,8.17,8.68,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,B,2,H,2,A,,,,,
