Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Unnamed: 24
327-U1363B-1H-1-A,327,U1363,B,1,1-1,H,1,A,0,74,0.0,0.74,,clayey sand [S54],,clayey sand,,,,,"Shepard, 1954",,,
327-U1363B-1H-2-A,327,U1363,B,1,1-2,H,2,A,0,10,1.5,1.6,,sandy clay [S54],,sandy clay,,,,,"Shepard, 1954",with ash,,
327-U1363B-1H-2-A,327,U1363,B,1,1-2,H,2,A,10,80,1.6,2.3,,clayey sand [S54],,clayey sand,,,,,"Shepard, 1954",with ash,,
327-U1363B-1H-CC-A,327,U1363,B,1,1-CC,H,CC,A,0,20,2.3,2.5,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,
327-U1363B-2H-1-A,327,U1363,B,2,2-1,H,1,A,0,36,2.5,2.86,foraminifera bearing,medium sand,,foraminifera bearing medium sand,,,,,"Shepard, 1954",,,
327-U1363B-2H-1-A,327,U1363,B,2,2-1,H,1,A,36,150,2.86,4.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-2-A,327,U1363,B,2,2-2,H,2,A,0,150,4.0,5.5,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-3-A,327,U1363,B,2,2-3,H,3,A,0,150,5.5,7.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-4-A,327,U1363,B,2,2-4,H,4,A,0,150,7.0,8.5,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-5-A,327,U1363,B,2,2-5,H,5,A,0,150,8.5,10.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-6-A,327,U1363,B,2,2-6,H,6,A,0,150,10.0,11.5,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-7-A,327,U1363,B,2,2-7,H,7,A,0,63,11.5,12.13,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-2H-CC-A,327,U1363,B,2,2-CC,H,CC,A,0,22,12.13,12.35,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite depositis,,
327-U1363B-3H-1-A,327,U1363,B,3,3-1,H,1,A,0,85,12.0,12.85,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-3H-1-A,327,U1363,B,3,3-1,H,1,A,85,150,12.85,13.5,,medium sand,,medium sand,,,,,"Shepard, 1954",with mica flecks,,
327-U1363B-3H-2-A,327,U1363,B,3,3-2,H,2,A,0,80,13.5,14.3,,medium sand,,medium sand,,,,,"Shepard, 1954",with mica flecks,,
327-U1363B-3H-2-A,327,U1363,B,3,3-2,H,2,A,80,110,14.3,14.6,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-3H-2-A,327,U1363,B,3,3-2,H,2,A,80,150,14.3,15.0,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-3H-3-A,327,U1363,B,3,3-3,H,3,A,0,100,15.0,16.0,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-3H-4-A,327,U1363,B,3,3-4,H,4,A,0,150,16.5,18.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-3H-5-A,327,U1363,B,3,3-5,H,5,A,0,150,18.0,19.5,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-3H-6-A,327,U1363,B,3,3-6,H,6,A,0,150,19.5,21.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-3H-7-A,327,U1363,B,3,3-7,H,7,A,0,42,21.0,21.42,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-3H-CC-A,327,U1363,B,3,3-CC,H,CC,A,0,15,21.42,21.57,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-4H-1-A,327,U1363,B,4,4-1,H,1,A,0,150,21.5,23.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-2-A,327,U1363,B,4,4-2,H,2,A,0,150,23.0,24.5,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-3-A,327,U1363,B,4,4-3,H,3,A,0,24,24.5,24.74,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-3-A,327,U1363,B,4,4-3,H,3,A,24,66,24.74,25.16,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-3-A,327,U1363,B,4,4-3,H,3,A,66,150,25.16,26.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-4-A,327,U1363,B,4,4-4,H,4,A,0,73,26.0,26.73,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-4-A,327,U1363,B,4,4-4,H,4,A,73,111,26.73,27.11,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-4-A,327,U1363,B,4,4-4,H,4,A,111,148,27.11,27.48,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-4-A,327,U1363,B,4,4-4,H,4,A,148,150,27.48,27.5,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-5-A,327,U1363,B,4,4-5,H,5,A,0,73,27.5,28.23,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-5-A,327,U1363,B,4,4-5,H,5,A,73,150,28.23,29.0,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-6-A,327,U1363,B,4,4-6,H,6,A,0,83,29.0,29.83,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-6-A,327,U1363,B,4,4-6,H,6,A,83,120,29.83,30.2,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-6-A,327,U1363,B,4,4-6,H,6,A,120,142,30.2,30.42,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",turbidite fining up wards sequences,,
327-U1363B-4H-6-A,327,U1363,B,4,4-6,H,6,A,142,150,30.42,30.5,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-7-A,327,U1363,B,4,4-7,H,7,A,0,77,30.5,31.27,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-4H-CC-A,327,U1363,B,4,4-CC,H,CC,A,0,18,31.27,31.45,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-1-A,327,U1363,B,5,5-1,H,1,A,0,150,31.0,32.5,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-2-A,327,U1363,B,5,5-2,H,2,A,0,19,32.5,32.69,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-5H-2-A,327,U1363,B,5,5-2,H,2,A,19,40,32.69,32.9,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-2-A,327,U1363,B,5,5-2,H,2,A,40,100,32.9,33.5,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
