Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
354-U1455C-1H-1-A,0,150,0,1.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,,,burrows,,,,,,,,354,U1455,C,1,H,1,A,
354-U1455C-1H-2-A,0,33,1.5,1.83,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp planar,horizontal,,,,,,burrows,,,,,,,,354,U1455,C,1,H,2,A,
354-U1455C-1H-2-A,33,121,1.83,2.71,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,normally graded,,,,,,,,354,U1455,C,1,H,2,A,
354-U1455C-1H-3-A,0,26,2.71,2.97,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,,,,,,,,,354,U1455,C,1,H,3,A,
354-U1455C-1H-3-A,26,99,2.97,3.7,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1455,C,1,H,3,A,
354-U1455C-1H-3-A,99,113,3.7,3.84,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1455,C,1,H,3,A,
354-U1455C-1H-3-A,113,145,3.84,4.16,,,clay [Leg210],,clay,clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1455,C,1,H,3,A,
354-U1455C-1H-4-A,0,8,4.21,4.29,,,clay [Leg210],,clay,clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-4-A,8,37,4.29,4.58,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-4-A,37,58,4.58,4.79,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-4-A,58,76,4.79,4.97,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-4-A,76,137,4.97,5.58,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-4-A,137,147,5.58,5.68,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,,,,,,parallel lamination,,,,138 cm thre is a re-deposited ash lamina,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-4-A,147,150,5.68,5.71,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,,sub-horizontal,,,,,,,,,,,,,,354,U1455,C,1,H,4,A,
354-U1455C-1H-5-A,0,4,5.71,5.75,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp irregular,,,,,,,,,,,,,,,354,U1455,C,1,H,5,A,
354-U1455C-1H-5-A,4,150,5.75,7.21,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,burrows,,,,,,,,354,U1455,C,1,H,5,A,
354-U1455C-1H-6-A,0,106,7.21,8.27,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,burrows,,,,,,,,354,U1455,C,1,H,6,A,
354-U1455C-1H-CC-A,0,12,8.27,8.39,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light gray,,,,,,,,,,,,,,,,354,U1455,C,1,H,CC,A,
354-U1455C-2H-1-A,0,65,8.7,9.35,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,,,,,,,mottling [BJ80],,,,,,,,354,U1455,C,2,H,1,A,
