Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size maximum [mm],Lithification,Comment,
329-U1369E-1H-1-A,329,U1369,E,1,1-1,H,1,A,0,30,0.0,0.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-1-A,329,U1369,E,1,1-1,H,1,A,140,150,1.4,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-2-A,329,U1369,E,1,1-2,H,2,A,100,125,2.5,2.75,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-2-A,329,U1369,E,1,1-2,H,2,A,135,150,2.85,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-3-A,329,U1369,E,1,1-3,H,3,A,70,80,3.7,3.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-3-A,329,U1369,E,1,1-3,H,3,A,90,150,3.9,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-4-A,329,U1369,E,1,1-4,H,4,A,30,150,4.8,6.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-5-A,329,U1369,E,1,1-5,H,5,A,0,68,6.0,6.68,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-1H-CC-A,329,U1369,E,1,1-CC,H,CC,A,0,16,6.68,6.84,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-1-A,329,U1369,E,2,2-1,H,1,A,80,150,7.6,8.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-2-A,329,U1369,E,2,2-2,H,2,A,110,150,9.4,9.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-3-A,329,U1369,E,2,2-3,H,3,A,40,150,10.2,11.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-4-A,329,U1369,E,2,2-4,H,4,A,50,150,11.8,12.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-5-A,329,U1369,E,2,2-5,H,5,A,60,70,13.4,13.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-5-A,329,U1369,E,2,2-5,H,5,A,100,150,13.8,14.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-6-A,329,U1369,E,2,2-6,H,6,A,80,95,15.1,15.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369E-2H-6-A,329,U1369,E,2,2-6,H,6,A,95,108,15.25,15.38,,sand [S54],,sand,"Shepard, 1954",,,,very disturbed altered basalt fragments,
329-U1369E-2H-CC-A,329,U1369,E,2,2-CC,H,CC,A,0,5,15.38,15.43,,clay [S54] ,,clay,"Shepard, 1954",,,,completely soupy,
329-U1369E-3H-CC-A,329,U1369,E,3,3-CC,H,CC,A,0,2,15.4,15.42,,clay [S54] ,,clay,"Shepard, 1954",,,,mixture of clay and basalt fragments,
,,,,,,,,,,,,,,,,,,,,,,
