Label ID,Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color(name),Prefix,Principal lithology,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File Data
330-U1377B-1R-1,330,U1377,B,1,R,1,0,79,0,0.79,pale yellow,nannofossil foraminiferal,ooze [MMK88],,nannofossil foraminiferal ooze,,,,,soupy,,
330-U1377B-1R-2,330,U1377,B,1,R,2,0,29,0.79,1.08,multicolor,basalt,conglomerate,,basalt conglomerate,,pebble [U14W22],5,rounded (Default),lithified,matrix is composed of foraminiferal limestone,
