Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size maximum [mm],Lithification,Comment,File Data,
329-U1371D-1H-1-A,329,U1371,D,1,1-1,H,1,A,0,34,0.0,0.34,diatom-bearing,clay [S54] ,,diatom-bearing clay,"Shepard, 1954",,,,,,
329-U1371D-1H-1-A,329,U1371,D,1,1-1,H,1,A,34,150,0.34,1.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-1H-2-A,329,U1371,D,1,1-2,H,2,A,0,150,1.5,3.0,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-1H-3-A,329,U1371,D,1,1-3,H,3,A,0,150,3.0,4.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-1H-4-A,329,U1371,D,1,1-4,H,4,A,0,150,4.5,6.0,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-1H-5-A,329,U1371,D,1,1-5,H,5,A,0,121,6.0,7.21,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-1H-CC-A,329,U1371,D,1,1-CC,H,CC,A,0,20,7.21,7.41,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-2H-1-A,329,U1371,D,2,2-1,H,1,A,0,150,7.4,8.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-2H-2-A,329,U1371,D,2,2-2,H,2,A,0,150,8.9,10.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1371D-2H-3-A,329,U1371,D,2,2-3,H,3,A,0,150,10.4,11.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
