Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1411C-1H-1-A,342,U1411,C,1,1-1,H,1,A,0,34,0,0.34,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,10YR 6/3 (pale brown),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,
342-U1411C-1H-1-A,342,U1411,C,1,1-1,H,1,A,34,150,0.34,1.5,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,10YR 5/1 (gray),,,,complete_339 [DB91],6,,Large dropstone at 124cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,
342-U1411C-1H-2-A,342,U1411,C,1,1-2,H,2,A,0,26,1.5,1.76,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,5Y 6/1 (gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,
342-U1411C-1H-2-A,342,U1411,C,1,1-2,H,2,A,26,70,1.76,2.2,silty [Leg339],clay [Leg339],with foraminifers [Leg339],silty  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with foraminifers ,,,,,,,
342-U1411C-1H-2-A,342,U1411,C,1,1-2,H,2,A,70,90,2.2,2.4,silty [Leg339],clay [Leg339],with foraminifers [Leg339],silty  clay  with foraminifers ,7.5YR 7/4 (pink),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with foraminifers ,,,,,,,
342-U1411C-1H-2-A,342,U1411,C,1,1-2,H,2,A,90,120,2.4,2.7,silty [Leg339],clay [Leg339],with foraminifers [Leg339],silty  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with foraminifers ,,,,,,,
342-U1411C-1H-3-A,342,U1411,C,1,1-3,H,3,A,0,27,2.7,2.97,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10YR 6/2 (light brownish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,,
342-U1411C-1H-3-A,342,U1411,C,1,1-3,H,3,A,27,53,2.97,3.23,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10YR 6/3 (pale brown),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,,
342-U1411C-2H-1-A,342,U1411,C,2,2-1,H,1,A,0,37,3.2,3.57,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10YR 5/3 (brown),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1411C-2H-1-A,342,U1411,C,2,2-1,H,1,A,37,51,3.57,3.71,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,,
