Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1428B-1H-1-A,0,150,0,1.5,,nannofossil ooze ,,nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,1,A,
346-U1428B-1H-1-A,98,99,0.98,0.99,,,,,,,,,,,,,,,,,,,,,,,,,shell fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,1,A,
346-U1428B-1H-2-A,0,83,1.5,2.33,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,2,A,
346-U1428B-1H-2-A,83,89,2.33,2.39,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,2,A,
346-U1428B-2H-1-A,0,22,2.5,2.72,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,1,A,
346-U1428B-2H-1-A,22,150,2.72,4,,nannofossil ooze ,with volcanic ash ,nannofossil ooze  with volcanic ash ,,,2,,10Y 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,1,A,
346-U1428B-2H-2-A,0,150,4,5.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,2,A,
346-U1428B-2H-3-A,0,150,5.5,7,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,3,A,
346-U1428B-2H-4-A,0,150,7,8.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,4,A,
346-U1428B-2H-5-A,0,150,8.5,10,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,5,A,
