Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,0,14,32.5,32.64,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,14,16,32.64,32.66,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5/N,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,16,31,32.66,32.81,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,31,32,32.81,32.82,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,,10Y 5/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,32,40,32.82,32.9,diatom ooze,Leg 323,foraminifer-rich,foraminifer-rich diatom ooze,50,soft,,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,32,40,32.82,32.9,diatom silt,Leg 323,,diatom silt,50,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,40,79,32.9,33.29,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,79,85,33.29,33.35,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,10R 2.5/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,85,108,33.35,33.58,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,108,109,33.58,33.59,coarse ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,coarse ash,,soft,,,,,,,,,,,,,,
323-U1339B-5H-1-A,323,U1339,B,5,5-1,H,1,A,109,150,33.59,34,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-2-A,323,U1339,B,5,5-2,H,2,A,0,150,34,35.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-3-A,323,U1339,B,5,5-3,H,3,A,0,29,35.5,35.79,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-3-A,323,U1339,B,5,5-3,H,3,A,29,32,35.79,35.82,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",diatom-rich,diatom-rich fine ash,,soft,3/N ,,,,,,,,,,,,,
