Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1495B-1F-CC-A,0,21,0.0,0.21,I,,,,,,,muddy,sand,,muddy sand,10YR 8/3 (very pale brown),,unconsolidated,fine sand,4,coarse sand,6,,moderate,,,,,,,,,,,,,,,,,,,other matrix,,with brown mud patch,Brown mud patch between 15 and 21 cm,,,,366,U1495,B,1,F,CC,A
366-U1495B-1F-CC-A,21,41,0.21,0.41,I,,,,,,,muddy,silt,,muddy silt,10YR 6/4 (light yellowish brown),,unconsolidated,silt,2,fine sand,4,,,,,,,,,,,,,,,,,,,,,other matrix,,,,,,,366,U1495,B,1,F,CC,A
366-U1495B-2F-1-A,0,37,0.4,0.77,II,,,,curviplanar,sharp,inclined,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 7/10Y (light greenish grey),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,20,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,Fall-in sediments with oxdized red altered ultramafic clasts,,,,366,U1495,B,2,F,1,A
366-U1495B-2F-1-A,37,82,0.77,1.22,II,,,,curviplanar,sharp,inclined,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 7/5G (light greenish grey),,unconsolidated,clay,1,granule,8,,poor,,,,serpentinite,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,Up arching drilling disturbance. Deformed and elongated clasts and sediment layers,,,,366,U1495,B,2,F,1,A
366-U1495B-2F-1-A,82,150,1.22,1.9,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 5/5PB (bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,Up-arching drilling disturbance.,,,,366,U1495,B,2,F,1,A
366-U1495B-2F-2-A,0,40,1.9,2.3,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 6/10BG (greenish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,8,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,Moderate drilling disturbance,,,,366,U1495,B,2,F,2,A
366-U1495B-2F-2-A,40,150,2.3,3.4,III,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1495,B,2,F,2,A
366-U1495B-2F-3-A,0,65,3.4,4.05,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 6/5B (bluish gray),,unconsolidated,clay,1,granule,8,,Poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,Disturbed by drilling,,,,366,U1495,B,2,F,3,A
366-U1495B-2F-CC-A,0,71,4.05,4.76,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 6/5B (bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1495,B,2,F,CC,A
366-U1495B-3G-CC-A,0,9,4.79,4.88,III,,,,,,,polymictic,breccia,with lithic clasts,polymictic breccia with lithic clasts,GLEY 2 5/10B (bluish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1495,B,3,G,CC,A
366-U1495B-3G-CC-A,9,31,4.88,5.1,III,,,,,,,,dunite,,dunite,GLEY 2 3/5BG (very dark greenish gray),,lithified,boulder,11,boulder,11,Single large clast of massive essentially unserpentinized dunite. No Opx apparent on cut surface. Cut by thin serpentine veins. clast cut by dark zone weathered or possibly serpentinized in part.,,,,,dunite,100,boulder,12,boulder,11,,,,,,,,,,,,,,,,,366,U1495,B,3,G,CC,A
366-U1495B-4F-1-A,0,61,5.1,5.71,III,,,,curviplanar,sharp,inclined,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,50,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,Fall-in sediments with oxdized red altered ultramafic clasts,,,,366,U1495,B,4,F,1,A
366-U1495B-4F-1-A,61,130,5.71,6.4,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 5/5B (bluish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,8,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,Up arching drilling disturbance. Deformed and elongated clasts and sediment layers,,,,366,U1495,B,4,F,1,A
366-U1495B-4F-1-A,130,150,6.4,6.6,III,,,,,,,,,,,,,,,1,,8,MBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1495,B,4,F,1,A
366-U1495B-4F-2-A,0,40,6.6,7.0,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/10BG (light greenish gray),,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,Up arching drilling disturbance. Deformed and elongated clasts and sediment layers,,,,366,U1495,B,4,F,2,A
366-U1495B-4F-2-A,40,150,7.0,8.1,III,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1495,B,4,F,2,A
