Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,0,13,0.0,0.13,clayey sand [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey sand,,soupy,5Y 4/2,,,,,,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,13,50,0.13,0.5,clayey sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey sand,,soft,5Y 3/2,,,,,,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,50,75,0.5,0.75,clayey sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey sand,,soft,5Y 4/2,,,,,,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,75,94,0.75,0.94,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,50.0,soft,5Y 4/2,,,,,thin bedding,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,75,94,0.75,0.94,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50.0,soft,5Y 5/1,,,,,thin bedding,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,94,106,0.94,1.06,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,20.0,soft,5Y 4/3,,,,,medium lamination,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,94,106,0.94,1.06,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,30.0,soft,5Y 5/4,,,,,medium lamination,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,94,106,0.94,1.06,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,50.0,soft,5Y 4/1 ,,,,,medium lamination,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,106,124,1.06,1.24,diatom ooze,Leg 323,,diatom ooze,50.0,soft,5Y 4/2,,,,,thin bedding,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,106,124,1.06,1.24,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,50.0,soft,5Y 5/1,,,,,thin bedding,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,124,148,1.24,1.48,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,20.0,soft,5Y 4/3,,,,,thick lamination,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,124,148,1.24,1.48,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,30.0,soft,5Y 5/4,,,,,thick lamination,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,124,148,1.24,1.48,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,50.0,soft,5Y 4/1 ,,,,,thick lamination,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,148,150,1.48,1.5,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,30.0,soft,2.5Y 4/1,,,,,strongly tilted layer or burrow filling,,,,,,,
323-U1345C-1H-1-A,323,U1345,C,1,1-1,H,1,A,148,150,1.48,1.5,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,70.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,0,10,1.5,1.6,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,30.0,soft,2.5Y 4/1,,,,,strongly tilted layer or burrow filling,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,0,10,1.5,1.6,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,70.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,10,22,1.6,1.72,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,10.0,soft,5Y 2.5/1,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,10,22,1.6,1.72,diatom ooze,Leg 323,,diatom ooze,40.0,soft,5Y 4/3,,,,,medium to thick lamination,,,,,,,
