Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1464B-1H-1-A,0,145,0.0,1.45,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown skeletal grainstone fine sand size grains and with peloids. Great diversity of macrofossils: peloids and bioclasts. Green/black grains very abundant",,,,356,U1464,B,1,H,1,A
356-U1464B-1H-2-A,0,63,1.5,2.13,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown skeletal grainstone fine sand size grains and with peloids. Great diversity of macrofossils: peloids and bioclasts. Green/black grains very abundant",,,,356,U1464,B,1,H,2,A
356-U1464B-1H-CC-A,0,8,2.13,2.21,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown skeletal grainstone fine sand size grains and with peloids. Great diversity of macrofossils: peloids and bioclasts. Green/black grains very abundant",,,,356,U1464,B,1,H,CC,A
356-U1464B-1H-CC-A,8,13,2.21,2.26,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,B,1,H,CC,A
356-U1464B-2H-1-A,0,138,2.2,3.58,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown skeletal grainstone fine sand size grains and with peloids. Great diversity of macrofossils: peloids and bioclasts. Green/black grains very abundant",,,,356,U1464,B,2,H,1,A
356-U1464B-2H-2-A,0,150,3.58,5.08,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown, skeletal grainstone with sand size grains, peloids and foraminifers. Great diversity of macrofossils. Peloids most abundant. Green/black grains very abundant",,,,356,U1464,B,2,H,2,A
356-U1464B-2H-3-A,0,150,5.08,6.58,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown grading into dark brown, skeletal grainstones with sand size grains and foraminifers. Darker color may be the result of bivalve fragments. Great diversity of macrofossils. Most abundant forams. Peloids common.. Green black grains abundant",,,,356,U1464,B,2,H,3,A
356-U1464B-2H-4-A,0,150,6.58,8.08,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,brown,,,,,,,,,"Unlithified, brown skeletal grainstone sand size grains and with foraminifers. Great diversity of macrofossils. Bivalve shell fragments may be the source of the darker brown color. Green/black grains very abundant towards the base and may also be the source of the darker color",,,,356,U1464,B,2,H,4,A
356-U1464B-2H-5-A,0,150,8.08,9.58,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown, skeletal grainstone with sand size grains and foraminifers. Green/black grains abundant",,,,356,U1464,B,2,H,5,A
356-U1464B-2H-6-A,0,121,9.58,10.79,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,beige,,,,,,,,,"Unlithified, beige, skeletal grainstone with sand size grains and with foraminifers. Green/black grains and peloids common. Finer sand material towards the base of the Section",,,,356,U1464,B,2,H,6,A
356-U1464B-2H-7-A,0,59,10.79,11.38,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,with foraminifers [2014],skeletal wackestone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, skeletal wackestone with coarse sand size grains and foraminifers.",,,,356,U1464,B,2,H,7,A
356-U1464B-2H-CC-A,0,8,11.38,11.46,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,with foraminifers [2014],skeletal wackestone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, skeletal wackestone with coarse sand size grains and foraminifers, peloids and green/black grains. Abundant macrofossils unidentified",,,,356,U1464,B,2,H,CC,A
356-U1464B-3H-1-A,0,150,11.7,13.2,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with foraminifers [2014],skeletal grainstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray, skeletal grainstone with sand size grains, with foraminifers, and finer grained towards the base of the Section. Green/black grains (glauconite) are abundant. Also a 1 cm long scaphpod and gastropod. Peloids common",,,,356,U1464,B,3,H,1,A
356-U1464B-3H-2-A,0,150,13.2,14.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream, homogeneous mudstone with vf sand size green/black grains",,,,356,U1464,B,3,H,2,A
356-U1464B-3H-3-A,0,146,14.7,16.16,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream, homogeneous mudstone with green and black grains",,,,356,U1464,B,3,H,3,A
356-U1464B-3H-4-A,0,150,16.2,17.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream, homogeneous mudstone with green/black grains",,,,356,U1464,B,3,H,4,A
356-U1464B-3H-5-A,0,150,17.7,19.2,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream, homogeneous mudstone less green/black grains",,,,356,U1464,B,3,H,5,A
356-U1464B-3H-6-A,0,132,19.2,20.52,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream, homogeneous mudstone. Few bioclast (scaphopod)",,,,356,U1464,B,3,H,6,A
356-U1464B-3H-7-A,0,57,20.52,21.09,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,"Unlithified, cream homogeneous mudstone",,,,356,U1464,B,3,H,7,A
356-U1464B-3H-CC-A,0,7,21.09,21.16,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,B,3,H,CC,A
356-U1464B-4H-1-A,0,144,21.2,22.64,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,cream,,,,,,,,,"Unlithified, cream homogeneous wackestone with fine sand size grains. Green/black grains abundant. A bivalve (1 cm). Also forams and bivalve fragments but most unidentifiable",,,,356,U1464,B,4,H,1,A
356-U1464B-4H-2-A,0,135,22.64,23.99,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray skeletal packstone with sand size grains and foraminifers. Green grains abundant and great diversity of macrofossils (unidentifiable)",,,,356,U1464,B,4,H,2,A
356-U1464B-4H-2-A,0,135,22.64,23.99,,,,,,,,,,,,,,,,,void,,,,356,U1464,B,4,H,2,A
356-U1464B-4H-3-A,0,146,24.1,25.56,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous packstone with sand to coarse sand size grains. Several gravel size bioclasts including scaphopods and bivalves",,,,356,U1464,B,4,H,3,A
