Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418C-1H-1-A,0.0,7.0,0.0,0.07,,diatom ooze [Leg339],,diatom ooze ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,1,A
341-U1418C-1H-1-A,7.0,150.0,0.07,1.5,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 5 (gray),,,,,,,,,,,,,,"15 silt laminae, mud 15 cm or less",,,,,,341,U1418,C,1,H,1,A
341-U1418C-1H-2-A,0.0,18.0,1.5,1.68,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,2,A
341-U1418C-1H-2-A,18.0,40.0,1.68,1.9,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 5 (gray),,,,,,,,,,,,,,cottage cheese structure,,,,,,341,U1418,C,1,H,2,A
341-U1418C-1H-2-A,40.0,150.0,1.9,3.0,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,2,A
341-U1418C-1H-3-A,0.0,73.0,3.0,3.73,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,3,A
341-U1418C-1H-3-A,73.0,84.0,3.73,3.84,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,3,A
341-U1418C-1H-3-A,84.0,150.0,3.84,4.5,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,3,A
341-U1418C-1H-4-A,0.0,32.0,4.5,4.82,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,C,1,H,4,A
341-U1418C-1H-4-A,32.0,37.0,4.82,4.87,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,4,A
