Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1465A-1H-1-A,0,25,0,0.25,,grainstone,4,,unlithified,1,10YR 7/1 (light gray),medium sand,5,foraminifera (planktic),,pteropod,,Halimeda,,,,,,,,,,,gradational,horizontal,Few isolated grains >2 mm Halimeda,,,,359,U1465,A,1,H,1,A,
359-U1465A-1H-1-A,25,138,0.25,1.38,,grainstone,4,,unlithified,1,10YR 7/3 (very pale brown),medium sand,5,foraminifera (planktic),"pteropod, echinoderms",pteropod,,echinoderm,,,,,,,,,,,gradational,horizontal,Few isolated grains >2 mm occasionally echinoderms,,,,359,U1465,A,1,H,1,A,
359-U1465A-1H-2-A,0,24,1.39,1.63,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (planktic),"pteropods, Halimeda",pteropod,,Halimeda,,,,,,,,,,,gradational,horizontal,"Stained grains, isolated >2 mm grains",,,,359,U1465,A,1,H,2,A,
359-U1465A-1H-2-A,24,75,1.63,2.14,,grainstone,4,,unlithified,1,10YR 6/1 (gray),medium sand,5,foraminifera (planktic),pteropods,pteropod,,,,,,,,,,,,,gradational,horizontal,"Bioturbation (059-068), possible disturbance",,,,359,U1465,A,1,H,2,A,
359-U1465A-1H-2-A,75,117,2.14,2.56,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (benthic),,Halimeda,,foraminifera (planktic),mollusks are present,,,,,,,,,,gradational,horizontal,,,,,359,U1465,A,1,H,2,A,
359-U1465A-1H-3-A,0,54,2.56,3.1,,grainstone,4,,unlithified,1,10Y 7/2 (pale green),medium sand,5,foraminifera (planktic),,Halimeda,,foraminifera (benthic),"bryoza, spines, pterapods",aggregate,,reverse grading,,,,,,,gradational,horizontal,Stained grains,,,,359,U1465,A,1,H,3,A,
359-U1465A-1H-3-A,54,141,3.1,3.97,,grainstone,4,,unlithified,1,10Y 6/1 (greenish gray),coarse sand,6,foraminifera (planktic),,Halimeda,,foraminifera (benthic),"bryoza, spines, pterapods",aggregate,,,,,,,,,,,Coarse-grained grading down core to fine-grained,,,,359,U1465,A,1,H,3,A,
359-U1465A-1H-4-A,0,29,3.97,4.26,,grainstone,4,,unlithified,1,10yr 7/1 (light gray),medium sand,5,foraminifera (planktic),,pteropod,,echinoderm,"Spines, Halimeda also present",,,reverse grading,,,,,,,sharp,horizontal,"Very coarse-grained sand, coarser upward",,,,359,U1465,A,1,H,4,A,
359-U1465A-1H-4-A,29,68,4.26,4.65,,grainstone,4,,unlithified,1,10Y 6/1 (greenish gray),medium sand,5,foraminifera (planktic),,bivalve,,foraminifera (benthic),"Large foraminifera (benthic) fragments, pterapods, echinoderm plates, bryozoa, halimeda (partially recrystlized), spines",,,reverse grading,,,,,,,gradational,horizontal,,,,,359,U1465,A,1,H,4,A,
359-U1465A-1H-4-A,68,121,4.65,5.18,,grainstone,4,,unlithified,1,10YR 7/1 (light gray),medium sand,5,foraminifera (planktic),,pteropod,,echinoderm,"Spines, Halimeda also present",,,,,,,,,,gradational,horizontal,Medium to coarse grained,,,,359,U1465,A,1,H,4,A,
