Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1523B-3F-1-A,0.0,22.0,46.7,46.92,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-1-A,22.0,76.0,46.92,47.46,foraminifer bearing,clast-rich sandy diamict [M89m],,foraminifer bearing clast-rich sandy diamict,lamination,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,foraminifer,,,,,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-1-A,66.0,70.0,47.36,47.4,,,,,,,,,,,,,,,inclined boundary or contact,bioturbated,,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-1-A,76.0,83.0,47.46,47.53,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,lamination,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-1-A,83.0,100.0,47.53,47.7,foraminifer bearing,clast-rich sandy diamict [M89m],,foraminifer bearing clast-rich sandy diamict,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,foraminifer,lonestone,gradational boundary or contact,bioturbated,Lonestone at 87-88 cm.,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-1-A,100.0,142.0,47.7,48.12,diatom rich,interbedded mud(stone) and diamict [McKW53],,diatom rich interbedded mud(stone) and diamict,lamination,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-1-A,124.0,138.0,47.94,48.08,,,,,burrows,,,,,,,,,,,,,,,,374,U1523,B,3,F,1,A
374-U1523B-3F-2-A,0.0,26.0,48.12,48.38,muddy,diatom ooze,with common clasts,muddy diatom ooze with common clasts,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,lonestone,gradational boundary or contact,,"Lonestone at 17, 18, 20 cm.",,,,374,U1523,B,3,F,2,A
374-U1523B-3F-2-A,26.0,70.0,48.38,48.82,diatom rich,interbedded mud(stone) and diamict [McKW53],,diatom rich interbedded mud(stone) and diamict,lamination,,heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 92-93 cm (in the WH).,,,,374,U1523,B,3,F,2,A
374-U1523B-3F-2-A,70.0,132.0,48.82,49.44,diatom rich,interbedded mud(stone) and diamict [McKW53],,diatom rich interbedded mud(stone) and diamict,lamination,,moderate [DB86],2,,,,,,,,,,,,,374,U1523,B,3,F,2,A
374-U1523B-5F-1-A,0.0,151.0,56.1,57.61,diatom rich,interbedded mud(stone) and diamict [McKW53],,diatom rich interbedded mud(stone) and diamict,mottling [BJ80],GLEY 1 4/10Y (dark greenish gray),heavy [DB86],3,,,,,,lonestone,,,"Lonestones at 40, 99. Clasts include mud.",,,,374,U1523,B,5,F,1,A
374-U1523B-5F-2-A,0.0,147.0,57.61,59.08,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,,GLEY 1 4/10Y (dark greenish gray),heavy [DB86],3,,,,,,mud clast,,,"78, 123, 40, 26, 121",,,,374,U1523,B,5,F,2,A
374-U1523B-5F-3-A,0.0,25.0,59.13,59.38,,,,,mottling [BJ80],GLEY 1 4/10Y (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,374,U1523,B,5,F,3,A
374-U1523B-5F-3-A,0.0,110.0,59.13,60.23,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 4/10Y (dark greenish gray),heavy [DB86],3,,,,,,mud clast,,,"mud clasts at 16, 17, 103, 66, 67",,,,374,U1523,B,5,F,3,A
374-U1523B-5F-3-A,66.0,74.0,59.79,59.87,,,,,interlamination,GLEY 1 4/10Y (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,374,U1523,B,5,F,3,A
374-U1523B-5F-CC-A,0.0,9.0,60.23,60.32,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,B,5,F,CC,A
374-U1523B-7F-1-A,0.0,35.0,65.5,65.85,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,sand stringer,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,lonestone,gradational boundary or contact,,"Lonestones at 28, 33, 39, 44, 52, 61, 64-94, 100, 99, 110, 113, 134, 135, 145",,,,374,U1523,B,7,F,1,A
374-U1523B-7F-1-A,35.0,69.0,65.85,66.19,diatom rich,clast-poor muddy diamict [M89m],,diatom rich clast-poor muddy diamict,,,moderate [DB86],2,,,,,,lonestone,,,,,,,374,U1523,B,7,F,1,A
374-U1523B-7F-1-A,69.0,150.0,66.19,67.0,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,interlamination,GLEY 1 4/10Y (dark greenish gray),moderate [DB86],2,,,,,,lonestone,,,,,,,374,U1523,B,7,F,1,A
374-U1523B-7F-1-A,100.0,150.0,66.5,67.0,,,,,lamination,,,,,,,pyrite,,lonestone,,,,,,,374,U1523,B,7,F,1,A
374-U1523B-7F-2-A,0.0,141.0,67.0,68.41,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,parallel lamination,GLEY 1 4/10Y (dark greenish gray),moderate [DB86],2,,,,,,lonestone,,,Lonestones at 94-96,,,,374,U1523,B,7,F,2,A
374-U1523B-7F-2-A,0.0,141.0,67.0,68.41,,,,,sand stringer,,,,,,,,,,,,,,,,374,U1523,B,7,F,2,A
