Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1419D-2H-1-A,0,54,5.5,6.04,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 3/1 (very dark greenish gray),,,,,,,,,,,,,,"color varies: 10Y 3/1 to 2.5Y 4/1; slightly laminated appearance, very few black mottles",,,,,,341,U1419,D,2,H,1,A
341-U1419D-2H-1-A,54,59,6.04,6.09,foraminifer bearing,sand [Leg210],,foraminifer bearing sand ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1419,D,2,H,1,A
341-U1419D-2H-1-A,59,150,6.09,7.0,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],9.0,,,,,,,,,,,,,,,,341,U1419,D,2,H,1,A
341-U1419D-2H-2-A,0,150,7.0,8.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],16.0,,,,,,,,,,color varies: 10Y 4/1 to N 4; dark gray/black lamina @ 18 to 82 cm,,,,,,341,U1419,D,2,H,2,A
341-U1419D-2H-3-A,0,150,8.5,10.0,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],11.0,,,,,,,,,,sandtsone @ 122-126 cm,,,,,,341,U1419,D,2,H,3,A
341-U1419D-2H-4-A,0,150,10.0,11.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],13.0,,,,,,,,,,black metasiltstone @ 90-93 cm (or basalt?),,,,,,341,U1419,D,2,H,4,A
341-U1419D-2H-5-A,0,150,11.5,13.0,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],21.0,,,,,,,,,,,,,,,,341,U1419,D,2,H,5,A
341-U1419D-2H-6-A,0,126,13.0,14.26,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],27.0,,,,,,,,,,silt lamina @ 124 cm (0.5 cm thick),,,,,,341,U1419,D,2,H,6,A
341-U1419D-2H-7-A,0,70,14.26,14.96,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],11.0,,,,,,,,,,silt lamina @ 8 cm (0.5 cm thick),,,,,,341,U1419,D,2,H,7,A
341-U1419D-2H-CC-A,0,11,14.96,15.07,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1419,D,2,H,CC,A
