Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1402B-1H-1-A,342,U1402,B,1,1-1,H,1,A,0,72,0.0,0.72,silty [Leg339],clay [Leg339],,silty  clay ,10YR 4/2 (dark grayish brown),,,,heavy [DB91],5,,,,,with sand [Leg339],, with sand ,  with sand ,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-1H-1-A,342,U1402,B,1,1-1,H,1,A,72,150,0.72,1.5,silty [Leg339],clay [Leg339],,silty  clay ,10YR 4/1 (dark gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-1H-1-A,342,U1402,B,1,1-1,H,1,A,126,126,1.26,1.26,,,,,,,,,heavy [DB91],5,,Some woody fragments,,,,,,,,,,,,,,,,,,,,,,,,,,gastropod,few [A47],,,,,,,,
342-U1402B-1H-2-A,342,U1402,B,1,1-2,H,2,A,0,112,1.5,2.62,silty [Leg339],clay [Leg339],,silty  clay ,10YR 4/1 (dark gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-1H-2-A,342,U1402,B,1,1-2,H,2,A,112,150,2.62,2.62,silty [Leg339],clay [Leg339],,silty  clay ,10YR 4/1 (dark gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,shell fragment,,silty   clay ,clay ,,,,,,
342-U1402B-1H-5-A,342,U1402,B,1,1-5,H,5,A,0,86,6.0,6.86,silty [Leg339],clay [Leg339],,silty  clay ,10Y 4/1 (dark greenish gray),,mineral,sulfide,heavy [DB91],5,,significant sulfide mottling,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-1-A,342,U1402,B,2,2-1,H,1,A,0,37,7.0,7.37,silty [Leg339],clay [Leg339],,silty  clay ,N 4 (dark gray),,mineral,sulfide,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-2-A,342,U1402,B,2,2-2,H,2,A,0,137,7.37,8.74,silty [Leg339],clay [Leg339],,silty  clay ,N 4 (dark gray),,mineral,sulfide,heavy [DB91],5,,significant sulfide mottling,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-3-A,342,U1402,B,2,2-3,H,3,A,0,144,8.74,10.18,silty [Leg339],clay [Leg339],,silty  clay ,N 4 (dark gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-4-A,342,U1402,B,2,2-4,H,4,A,0,139,10.18,11.57,silty [Leg339],clay [Leg339],,silty  clay ,N 4 (dark gray),,mineral,sulfide,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-5-A,342,U1402,B,2,2-5,H,5,A,0,149,11.57,13.06,silty [Leg339],clay [Leg339],,silty  clay ,N 4 (dark gray),,mineral,sulfide,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-6-A,342,U1402,B,2,2-6,H,6,A,0,115,13.06,14.21,silty [Leg339],clay [Leg339],,silty  clay ,10Y 4/2 (grayish green),,mineral,sulfide,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1402B-2H-6-A,342,U1402,B,2,2-CC,H,CC,A,0,82,14.21,15.03,silty [Leg339],clay [Leg339],,silty  clay ,10Y 4/2 (grayish green),,mineral,sulfide,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
