dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links
,344-U1413A-1H-1-A,344,U1413,A,1,1-1,H,1,A,0,150,0.0,1.5,,slight [drilling disturbance],2,silty,clay [USGS],with biogenic components [Leg339],5Y 3/2 (dark olive gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,biogenic components reach sand-szie; at 38-39 cm depth there is a pod of foraminifera,,,,,,,,,,,,,,drilling disturbance left a cm-broad streak along the entire section,,,
,344-U1413A-1H-2-A,344,U1413,A,1,1-2,H,2,A,0,138,1.5,2.88,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5Y 3/2 (dark olive gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,biogenic component are common and vary in abundance with depth,,,,,,,,,,,,,,,,,
,344-U1413A-1H-2-A,344,U1413,A,1,1-2,H,2,A,138,150,2.88,3.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1413A-1H-3-A,344,U1413,A,1,1-3,H,3,A,0,42,3.0,3.42,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5Y 3/2 (dark olive gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,,,,,,,,,,,,,,,,,,
,344-U1413A-1H-3-A,344,U1413,A,1,1-3,H,3,A,42,108,3.42,4.08,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,biogenic fragments include fish scale and large shell fragments; biogenic fragments are enriched in pods and thin layers; thin lenses of dark glauconite-rich sand ,,,,,,,,,,,,common [B06],4,,,,
,344-U1413A-1H-3-A,344,U1413,A,1,1-3,H,3,A,108,136,4.08,4.36,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,biogenic components (foraminfera and shell fragments) enriched in thin laminations; wood fragment at 126 cm,,,,,,,,,,,,common [B06],4,,,,
,344-U1413A-1H-3-A,344,U1413,A,1,1-3,H,3,A,136,150,4.36,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,STIPP,,,
,344-U1413A-1H-4-A,344,U1413,A,1,1-4,H,4,A,0,109,4.5,5.59,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,"few biogenic components; pod of light-colored ash at 17 cm, Occasional laminations of dark-colored glauconite-rich sand which may contain forminifera.  Some color-banding throughout the core.",,,,,,,,,,,,common [B06],4,,,,
,344-U1413A-1H-4-A,344,U1413,A,1,1-4,H,4,A,109,122,5.59,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW-REV,,,
,344-U1413A-1H-5-A,344,U1413,A,1,1-5,H,5,A,0,45,5.72,6.17,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,biogenic components (foraminifera) enriched in laminations between 3 and 25 cm. Two thin dark-colored glauconite-rich layers at 32 and 43 cm. ,,,,,,,,,,,,,,,,,
,344-U1413A-1H-5-A,344,U1413,A,1,1-5,H,5,A,45,49,6.17,6.21,,minimal [drilling disturbance],1,silty,clay [USGS],,10BG 5/1 (greenish gray),silty  clay ,silty clay ,,,,,presumably very finegrained volcanic ash,,,,,,,,,,,,slight [B06],2,,,,
,344-U1413A-1H-5-A,344,U1413,A,1,1-5,H,5,A,49,58,6.21,6.3,,,,,sand [USGS],,5BG 3/1 (very dark greenish gray),sand ,sand ,sand [W22_1],3,sand [W22_1],3,"greenish, glauconite-rich turbidite sand with brownish laminations of sapropel",,,,,,,,,,,,,,,,,
,344-U1413A-1H-5-A,344,U1413,A,1,1-5,H,5,A,58,65,6.3,6.37,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,biogenic components (foraminifera) enriched in laminations between 3 and 25 cm. Two thin dark-colored ash layers at 32 and 43 cm. ,,,,,,,,,,,,slight [B06],2,,,,
,344-U1413A-1H-CC-A,344,U1413,A,1,1-CC,H,CC,A,0,21,6.37,6.58,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,"foraminifera enriched in thin layers, possibly together with some ash",,,,,,,,,,,,slight [B06],2,,,,
,344-U1413A-1H-CC-A,344,U1413,A,1,1-CC,H,CC,A,21,28,6.58,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,
,344-U1413A-2H-1-A,344,U1413,A,2,2-1,H,1,A,0,27,6.6,6.87,,,,silty,sand [USGS],,10Y 3/2 (very dark grayish green),silty  sand ,silty sand ,,,,,"sequences of mm to cm-sized, normal graded fine sands",,,,,,,,,,,,absent [B06],0,,,,
,344-U1413A-2H-1-A,344,U1413,A,2,2-1,H,1,A,27,70,6.87,7.3,soupy,moderate [drilling disturbance],4,silty,clay [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,sand [W22_1],3,foraminifera enriched in some sandy layers.,,,,,,,,,,,,moderate [B06],3,,,,
