Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
320-U1332A-1H-1-A,320,U1332,A,1,1-1,H,1,A,0,150,0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-1H-2-A,320,U1332,A,1,1-2,H,2,A,0,150,1.5,3,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-1H-3-A,320,U1332,A,1,1-3,H,3,A,0,74,3,3.74,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-1H-CC-A,320,U1332,A,1,1-CC,H,CC,A,0,12,3.74,3.86,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-2H-1-A,320,U1332,A,2,2-1,H,1,A,0,22,3.9,4.12,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-2H-1-A,320,U1332,A,2,2-1,H,1,A,22,150,4.12,5.4,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,40,soft,10YR 6/4,,,,,,
320-U1332A-2H-1-A,320,U1332,A,2,2-1,H,1,A,22,150,4.12,5.4,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,60,soft,10YR 4/1,,,,,,
320-U1332A-2H-2-A,320,U1332,A,2,2-2,H,2,A,0,150,5.4,6.9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-2H-3-A,320,U1332,A,2,2-3,H,3,A,0,142,6.9,8.32,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,,,,
320-U1332A-2H-3-A,320,U1332,A,2,2-3,H,3,A,142,150,8.32,8.4,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/1,,,,,,
320-U1332A-2H-4-A,320,U1332,A,2,2-4,H,4,A,0,150,8.4,9.9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/1,,,,,,
320-U1332A-2H-5-A,320,U1332,A,2,2-5,H,5,A,0,127,9.9,11.17,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/1,,,,,,
320-U1332A-2H-5-A,320,U1332,A,2,2-5,H,5,A,127,150,11.17,11.4,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-2H-6-A,320,U1332,A,2,2-6,H,6,A,0,150,11.4,12.9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-2H-7-A,320,U1332,A,2,2-7,H,7,A,0,53,12.9,13.43,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-2H-CC-A,320,U1332,A,2,2-CC,H,CC,A,0,17,13.43,13.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-3H-1-A,320,U1332,A,3,3-1,H,1,A,0,150,13.4,14.9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-3H-2-A,320,U1332,A,3,3-2,H,2,A,0,150,14.9,16.4,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-3H-3-A,320,U1332,A,3,3-3,H,3,A,0,130,16.4,17.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",zeolite,,zeolite Clay,100,soft,10YR 3/2,,,,,,
320-U1332A-3H-3-A,320,U1332,A,3,3-3,H,3,A,130,150,17.7,17.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/2,,,,,,
320-U1332A-3H-3-A,320,U1332,A,3,3-3,H,3,A,130,150,17.7,17.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and clay,Nannofossil ooze with radiolarians and clay,30,soft,10YR 5/4,,,,,,
320-U1332A-3H-4-A,320,U1332,A,3,3-4,H,4,A,0,150,17.9,19.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/2,,,,,,
320-U1332A-3H-4-A,320,U1332,A,3,3-4,H,4,A,0,150,17.9,19.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and clay,Nannofossil ooze with radiolarians and clay,30,soft,10YR 5/4,,,,,,
320-U1332A-3H-5-A,320,U1332,A,3,3-5,H,5,A,0,150,19.4,20.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/2,,,,,,
320-U1332A-3H-5-A,320,U1332,A,3,3-5,H,5,A,0,150,19.4,20.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and clay,Nannofossil ooze with radiolarians and clay,30,soft,10YR 5/4,,,,,,
320-U1332A-3H-6-A,320,U1332,A,3,3-6,H,6,A,0,150,20.9,22.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/2,,,,,,
320-U1332A-3H-6-A,320,U1332,A,3,3-6,H,6,A,0,150,20.9,22.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and clay,Nannofossil ooze with radiolarians and clay,30,soft,10YR 5/4,,,,,,
320-U1332A-3H-7-A,320,U1332,A,3,3-7,H,7,A,0,38,22.4,22.78,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/2,,,,,,
320-U1332A-3H-7-A,320,U1332,A,3,3-7,H,7,A,0,38,22.4,22.78,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and clay,Nannofossil ooze with radiolarians and clay,30,soft,10YR 5/4,,,,,,
320-U1332A-3H-7-A,320,U1332,A,3,3-7,H,7,A,38,82,22.78,23.22,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 6/3,,,,,,
320-U1332A-3H-CC-A,320,U1332,A,3,3-CC,H,CC,A,0,29,23.22,23.51,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 6/3,,,,,,
320-U1332A-4H-1-A,320,U1332,A,4,4-1,H,1,A,0,150,22.9,24.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-1-A,320,U1332,A,4,4-1,H,1,A,0,150,22.9,24.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-2-A,320,U1332,A,4,4-2,H,2,A,0,150,24.4,25.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-2-A,320,U1332,A,4,4-2,H,2,A,0,150,24.4,25.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-3-A,320,U1332,A,4,4-3,H,3,A,0,150,25.9,27.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-3-A,320,U1332,A,4,4-3,H,3,A,0,150,25.9,27.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-4-A,320,U1332,A,4,4-4,H,4,A,0,150,27.4,28.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-4-A,320,U1332,A,4,4-4,H,4,A,0,150,27.4,28.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-5-A,320,U1332,A,4,4-5,H,5,A,0,150,28.9,30.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-5-A,320,U1332,A,4,4-5,H,5,A,0,150,28.9,30.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-6-A,320,U1332,A,4,4-6,H,6,A,0,150,30.4,31.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-6-A,320,U1332,A,4,4-6,H,6,A,0,150,30.4,31.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-7-A,320,U1332,A,4,4-7,H,7,A,0,79,31.9,32.69,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-7-A,320,U1332,A,4,4-7,H,7,A,0,79,31.9,32.69,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-4H-CC-A,320,U1332,A,4,4-CC,H,CC,A,0,30,32.69,32.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/3,,,,,,
320-U1332A-4H-CC-A,320,U1332,A,4,4-CC,H,CC,A,0,30,32.69,32.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay,Radiolarian ooze with clay,50,soft,10YR 3/3,,,,,,
320-U1332A-5H-1-A,320,U1332,A,5,5-1,H,1,A,0,150,32.4,33.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-1-A,320,U1332,A,5,5-1,H,1,A,0,150,32.4,33.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-2-A,320,U1332,A,5,5-2,H,2,A,0,150,33.9,35.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-2-A,320,U1332,A,5,5-2,H,2,A,0,150,33.9,35.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-3-A,320,U1332,A,5,5-3,H,3,A,0,150,35.4,36.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-3-A,320,U1332,A,5,5-3,H,3,A,0,150,35.4,36.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-4-A,320,U1332,A,5,5-4,H,4,A,0,150,36.9,38.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-4-A,320,U1332,A,5,5-4,H,4,A,0,150,36.9,38.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-5-A,320,U1332,A,5,5-5,H,5,A,0,150,38.4,39.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-5-A,320,U1332,A,5,5-5,H,5,A,0,150,38.4,39.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-6-A,320,U1332,A,5,5-6,H,6,A,0,150,39.9,41.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-6-A,320,U1332,A,5,5-6,H,6,A,0,150,39.9,41.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-7-A,320,U1332,A,5,5-7,H,7,A,0,87,41.4,42.27,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-7-A,320,U1332,A,5,5-7,H,7,A,0,87,41.4,42.27,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-5H-CC-A,320,U1332,A,5,5-CC,H,CC,A,0,20,42.27,42.47,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/3,,,,,,
320-U1332A-5H-CC-A,320,U1332,A,5,5-CC,H,CC,A,0,20,42.27,42.47,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,,,,
320-U1332A-6H-1-A,320,U1332,A,6,6-1,H,1,A,0,150,41.9,43.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-1-A,320,U1332,A,6,6-1,H,1,A,0,150,41.9,43.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-2-A,320,U1332,A,6,6-2,H,2,A,0,150,43.4,44.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-2-A,320,U1332,A,6,6-2,H,2,A,0,150,43.4,44.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-3-A,320,U1332,A,6,6-3,H,3,A,0,150,44.9,46.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-3-A,320,U1332,A,6,6-3,H,3,A,0,150,44.9,46.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-4-A,320,U1332,A,6,6-4,H,4,A,0,150,46.4,47.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-4-A,320,U1332,A,6,6-4,H,4,A,0,150,46.4,47.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-5-A,320,U1332,A,6,6-5,H,5,A,0,150,47.9,49.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-5-A,320,U1332,A,6,6-5,H,5,A,0,150,47.9,49.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-6-A,320,U1332,A,6,6-6,H,6,A,0,150,49.4,50.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-6-A,320,U1332,A,6,6-6,H,6,A,0,150,49.4,50.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-7-A,320,U1332,A,6,6-7,H,7,A,0,80,50.9,51.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1332A-6H-7-A,320,U1332,A,6,6-7,H,7,A,0,80,50.9,51.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-6H-CC-A,320,U1332,A,6,6-CC,H,CC,A,0,24,51.7,51.94,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
