Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
362-U1480H-1H-1-A,0,35,0,0.35,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,10YR 6/3 (pale brown),irregular,gradational,irregular gradational,horizontal,thick bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],absent [DB91],1,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,H,1,H,1,A,
362-U1480H-1H-1-A,35,43,0.35,0.43,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,10YR 4/3 (brown),irregular,gradational,irregular gradational,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],heavy [DB91],4,Thalassinoides,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,H,1,H,1,A,
362-U1480H-1H-1-A,43,50,0.43,0.5,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,10YR 6/3 (pale brown),irregular,gradational,irregular gradational,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],slight [DB91],3,Thalassinoides,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,H,1,H,1,A,
362-U1480H-1H-1-A,50,56,0.5,0.56,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,10YR 4/3 (brown),irregular,gradational,irregular gradational,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],moderate [DB91],4,Thalassinoides,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,H,1,H,1,A,
362-U1480H-1H-1-A,56,135,0.56,1.35,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,10YR 6/3 (pale brown),,,,,,unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,Abundant foraminifer at 91-120 cm.,mottling [BJ80],moderate [DB91],4,Thalassinoides,Scolicia,,,,foraminifer,C [A85],,,,,,,,,362,U1480,H,1,H,1,A,
362-U1480H-1H-2-A,0,34,1.5,1.84,IA,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,10YR 6/2 (light brownish gray),irregular,sharp,irregular sharp,inclined,thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,slight [DB91],3,Thalassinoides,,,,,,,,,,,,,,,362,U1480,H,1,H,2,A,
362-U1480H-1H-2-A,34,127,1.84,2.77,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,2.5Y 7/3 (pale yellow),irregular,gradational,irregular gradational,sub-horizontal,thick bed [B01],unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],sparse [DB91],2,Thalassinoides,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,H,1,H,2,A,
362-U1480H-1H-2-A,127,135,2.77,2.85,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,10YR 4/3 (brown),,,,,,unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],moderate [DB91],4,Thalassinoides,,,,,foraminifer,C [A85],,,,,,,,,362,U1480,H,1,H,2,A,
362-U1480H-1H-3-A,0,131,3,4.31,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,2.5Y 7/3 (pale yellow),,,,,,unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,2 cm thick ash pod at 47-53 cm.,mottling [BJ80],moderate [DB91],4,Thalassinoides,,,ash pods,,foraminifer,C [A85],,,,,,,,,362,U1480,H,1,H,3,A,
362-U1480H-1H-CC-A,0,11,4.31,4.42,IA,calcareous [Leg339],clay [S54],with silt [2014],calcareous clay,calcareous clay with silt,clay with silt,,2.5Y 7/3 (pale yellow),,,,,,unlithified [Leg194],silt [W22_1],2,non-graded,well [2014],,,,mottling [BJ80],moderate [DB91],4,Thalassinoides,,,,,foraminifer,C [A85],,,,,,,,,362,U1480,H,1,H,CC,A,
