Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1419C-2H-1-A,0,100,2,3,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- diatom ooze with silt
- scattered small black mottles (<2 mm)
- relatively wet/soupy sediments",,,,,,341,U1419,C,2,H,1,A,
341-U1419C-2H-2-A,0,148,3,4.48,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- diatom ooze with silt
- scattered small black mottles (<2 mm)
- relatively wet/soupy sediments",,,,,,341,U1419,C,2,H,2,A,
341-U1419C-2H-3-A,0,85,4.48,5.33,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- diatom ooze with silt
- scattered small black mottles (<2 mm)
- relatively wet/soupy sediments",,,,,,341,U1419,C,2,H,3,A,
341-U1419C-2H-3-A,85,97,5.33,5.45,,diatom ooze [Leg339],,diatom ooze ,,,,5Y 4/2 (olive gray),slight [DB86],1,,,,,,,,,,,,"- diatom ooze
- few black mottles (<3 mm)
",,,,,,341,U1419,C,2,H,3,A,
341-U1419C-2H-3-A,97,117,5.45,5.65,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- diatom ooze
- scattered small black mottles (<3 mm)",,,,,,341,U1419,C,2,H,3,A,
341-U1419C-2H-4-A,0,25,5.65,5.9,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,diatom oozish mud with very subtle laminations (color changes),,,,,,341,U1419,C,2,H,4,A,
341-U1419C-2H-4-A,25,29,5.9,5.94,,sand [Leg210],,sand ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],2,,,,,,,,,,fine sand,,,,,,341,U1419,C,2,H,4,A,
341-U1419C-2H-4-A,29,131,5.94,6.96,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],9,,,,,,,,,,color changes from 10Y 4/1 to N4 throughout this interval,,,,,,341,U1419,C,2,H,4,A,
341-U1419C-2H-4-A,131,134,6.96,6.99,,sand [Leg210],with foraminifers [Leg339],sand  with foraminifers ,,,,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,well rounded coarse sand grains,,,,,,341,U1419,C,2,H,4,A,
341-U1419C-2H-4-A,134,150,6.99,7.15,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1419,C,2,H,4,A,
