Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1454D-1H-1-A,3,6,0.03,0.06,,,calcareous clay,with foraminifers,calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,sharp planar,horizontal,,,,,,mottling,,,,,,,
354-U1454D-1H-1-A,6,10,0.06,0.1,,,clay,,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,green indurated layer 8-10 cm,,,
354-U1454D-1H-1-A,10,150,0.1,1.5,,,clay,,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1454D-1H-2-A,0,150,1.5,3,,,clay,,clay,clay,clay,,gray,,,,,,,,color banding,,,,black color banding,,,
354-U1454D-1H-3-A,0,50,3,3.5,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,,,,,,color banding,,,,black color banding,,,
354-U1454D-1H-3-A,50,94,3.5,3.94,,,clay,,clay,clay,clay,,gray,,,thin bed,silt,very thin bed,,,,,,,,,,
354-U1454D-1H-3-A,109,128,4.09,4.28,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,,,,,,,,,,,,,
354-U1454D-1H-3-A,128,139,4.28,4.39,,,silt,,silt,silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,
354-U1454D-1H-3-A,139,151,4.39,4.51,,,clay,,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1454D-1H-4-A,0,29,4.5,4.79,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,thin bed,silt,very thin bed,,,,,,,,,,
354-U1454D-1H-4-A,29,42,4.79,4.92,,,silt,with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454D-1H-4-A,42,78,4.92,5.28,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,thin bed,silt,lamina,,,,,,,,,,
