Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ. Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1405A-1H-1-A,342,U1405,A,1,1-1,H,1,A,0.0,150.0,0.0,1.5,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 6/3 (light brown),,,,moderate_339 [DB91],4.0,,Redder section from 89-116cm 5YR 5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-1H-2-A,342,U1405,A,1,1-2,H,2,A,0.0,150.0,1.5,3.0,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-1H-3-A,342,U1405,A,1,1-3,H,3,A,0.0,150.0,3.0,4.5,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4.0,,"Redder 7YR 6/3 cycles from 29-49cm and 69-89cm.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-1H-4-A,342,U1405,A,1,1-4,H,4,A,0.0,110.0,4.5,5.6,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-1H-4-A,342,U1405,A,1,1-4,H,4,A,110.0,147.0,5.6,5.97,,nannofossil ooze [Leg339],,nannofossil ooze ,10YR 6/3 (pale brown),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-1H-CC-A,342,U1405,A,1,1-CC,H,CC,A,0.0,18.0,5.97,6.2,,nannofossil ooze [Leg339],,nannofossil ooze ,10YR 6/3 (pale brown),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-2H-1-A,342,U1405,A,2,2-1,H,1,A,0.0,150.0,6.2,7.7,nannofossil [Leg339],clay [Leg339],with foraminifers [Leg339],nannofossil  clay  with foraminifers ,10YR 5/3 (brown),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with foraminifers ,,,,,,
342-U1405A-2H-2-A,342,U1405,A,2,2-2,H,2,A,0.0,150.0,7.7,9.2,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 5/3 (brown),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-2H-3-A,342,U1405,A,2,2-3,H,3,A,0.0,150.0,9.2,10.7,,nannofossil ooze [Leg339],,nannofossil ooze ,10YR 5/3 (brown),,,,moderate_339 [DB91],4.0,,"Color grades to 2.5Y 6/2 at the bottom of the section.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405A-2H-4-A,342,U1405,A,2,2-4,H,4,A,0.0,150.0,10.7,12.2,,clay [Leg339],with silt [Leg339],clay  with silt ,2.5Y 6/2 (light brownish gray),,nodule,fe oxide,moderate_339 [DB91],4.0,,"nodule at 75cm. silty layers between 54 and 74cm, and 105-115cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,
