Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data,Extra Sample ID Data
"339-U1385A-1H-1-A, 0-7",339,U1385,A,1,1-1,H,1,A,0,7,0,0.07,silty [Leg339],nannofossil ooze [Leg339],,silty   nannofossil ooze ,silty  nannofossil ooze ,nannofossil ooze ,100,10YR 5/3 (brown),silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,100,gradational contact,color banding,medium laminated,,,,sparse_339 [DB91],2,,,,100,100,,
"339-U1385A-1H-1-A, 7-121",339,U1385,A,1,1-1,H,1,A,7,121,0.07,1.21,clayey [Leg339],nannofossil ooze [Leg339],,clayey   nannofossil ooze ,clayey  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-1H-CC-A, 0-23",339,U1385,A,1,1-CC,H,CC,A,0,23,1.21,1.44,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,present [A48],,,100,100,,
"339-U1385A-2H-1-A, 0-20",339,U1385,A,2,2-1,H,1,A,0,20,1.5,1.7,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 4/3 (brown),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,,,,,Drilling disturbance,100,100,,
"339-U1385A-2H-1-A, 20-150",339,U1385,A,2,2-1,H,1,A,20,150,1.7,3,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,present [A48],,Foraminifers and shells,100,100,,
"339-U1385A-2H-2-A, 0-150",339,U1385,A,2,2-2,H,2,A,0,150,3,4.5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,,5Y 5/2 (reddish gray),clay [W22_1],1,,,,,,,,,,,,,,,,,,,,,,slight_339 [DB91],3,,,,,,,
"339-U1385A-2H-3-A, 0-150",339,U1385,A,2,2-3,H,3,A,0,150,4.5,6,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,present [A48],,,100,100,,
"339-U1385A-2H-4-A, 0-150",339,U1385,A,2,2-4,H,4,A,0,150,6,7.5,clayey [Leg339],nannofossil ooze [Leg339],,clayey   nannofossil ooze ,clayey  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-2H-5-A, 0-150",339,U1385,A,2,2-5,H,5,A,0,150,7.5,9,clayey [Leg339],nannofossil ooze [Leg339],,clayey   nannofossil ooze ,clayey  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,cement,,slight_339 [DB91],3,present [A48],,,100,100,,
"339-U1385A-2H-6-A, 0-150",339,U1385,A,2,2-6,H,6,A,0,150,9,10.5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,cement,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-2H-7-A, 0-71",339,U1385,A,2,2-7,H,7,A,0,71,10.5,11.21,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (reddish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-2H-CC-A, 0-14",339,U1385,A,2,2-CC,H,CC,A,0,14,11.21,11.35,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"339-U1385A-3H-1-A, 0-12",339,U1385,A,3,3-1,H,1,A,0,12,11,11.12,nannofossil [Leg339],sandy silt [Leg339],,nannofossil   sandy silt ,nannofossil  sandy silt ,sandy silt ,100,5Y 6/1 (gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,contact not recovered,,,,,,moderate_339 [DB91],4,,,,100,100,,
"339-U1385A-3H-1-A, 12-150",339,U1385,A,3,3-1,H,1,A,12,150,11.12,12.5,nannofossil [Leg339],sandy silt [Leg339],,nannofossil   sandy silt ,nannofossil  sandy silt ,sandy silt ,100,5Y 6/1 (gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Foraminifers are visible (medium sand-size). Burrows are observed.,100,100,,
