Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1465C-2F-1-A,0,48,55,55.48,,grainstone,4,grainstone,unlithified,1,10YR 7/3 (very pale brown),coarse sand,6,foraminifera (benthic),,echinoderm,(R),,,,,,,,,absent,0,,,,GRAINSTONE (RUDSTONE locally). Medium-grained,,,
359-U1465C-2F-1-A,48,122,55.48,56.22,,packstone,3,packstone,unlithified,1,10YR 7/2 (light gray),coarse sand,6,foraminifera (benthic),,foraminifera (planktic),,foraminifera (large benthic),,,,normal grading,,,,absent,0,,,,PACKSTONE with benthic foraminifera fining up. Other grains: Echinoid spine Otolith,,,
359-U1465C-2F-2-A,0,120,56.22,57.42,,packstone,3,packstone,unlithified,1,10YR 7/3 (very pale brown),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,foraminifera (large benthic),,,,normal grading,,,,absent,0,,,,PACKSTONE with benthic foraminifera fining up. Moderate well-sorted,,,
359-U1465C-2F-2-A,120,145,57.42,57.67,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),Bioclastic grains,shell fragment,,,,normal grading,,,,absent,0,,,,PACKSTONE with benthic foraminifera fining up. Moderate- to well-sorted Other grains: Solitary corals Echinoderms spines Bryozoan,,,
359-U1465C-2F-3-A,0,102,57.72,58.74,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (large benthic),,shell fragment,,,,,,,,absent,0,,,,PACKSTONE with benthic foraminifera fining up. Poorly sorted other grains: otoliths Bryozoan,,,
359-U1465C-2F-CC-A,0,19,58.74,58.93,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (large benthic),,shell fragment,,,,,,,,absent,0,,,,PACKSTONE with benthic foraminifera coarsening up. Poorly sorted other grains: otoliths Bryozoan,,,
359-U1465C-3F-1-A,0,33,59.7,60.03,,rudstone,6,rudstone,unlithified,1,10YR 8/2 (very pale brown),granule,8,foraminifera (large benthic),,echinoderm,,shell fragment,,,,,,,,absent,0,,,,RUDSTONE poorly sorted,,,
359-U1465C-3F-1-A,33,123,60.03,60.93,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,foraminifera (large benthic),,,,,,,,absent,0,,,,PACKSTONE with benthic foraminifera coarsening up. Well-sorted other grains: Bryozoans (F) Pteropods (P),,,
359-U1465C-3F-2-A,0,33,60.93,61.26,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,foraminifera (large benthic),,,,reverse grading,,,,absent,0,,,,PACKSTONE with benthic foraminifera coarsening up. Well-sorted Other grains: Shell fragments (F) Bivalves (P) Pteropods?(F),,,
359-U1465C-3F-2-A,33,147,61.26,62.4,,grainstone,4,grainstone,unlithified,1,2.5Y 8/2 (pale yellow),coarse sand,6,foraminifera (benthic),,foraminifera (large benthic),,echinoderm,,,,,,,,absent,0,,,,GRAINSTONE with benthic foraminifera coarsening up. Well-sorted other grains: Shell fragments (F) Bryozoans (C) Otolith (F),,,
359-U1465C-3F-3-A,0,106,62.4,63.46,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (large benthic),,echinoderm,,,,reverse grading,,,,absent,0,,,,"PACKSTONE with benthic foraminifera coarsening up. Poorly sorted Other grains: Shell fragments (F) Bivalves (P) Pteropods?(F), Otoliths (F), Bryozoan (F)",,,
359-U1465C-3F-CC-A,0,16,63.46,63.62,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,shell fragment,,,,reverse grading,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera Coarsening up. Well-sorted Other grains: Shell fragments (F) Bivalves (F), Otoliths (F), Bryozoan (F)",,,
359-U1465C-4F-1-A,0,41,64.4,64.81,,rudstone,6,rudstone,unlithified,1,2.5Y 8/2 (pale yellow),granule,8,foraminifera (benthic),,foraminifera (large benthic),,bryozoa,,,,,,,,absent,0,,,,RUDSTONE poorly sorted cave-in.,,,
359-U1465C-4F-1-A,41,134,64.81,65.74,,packstone,3,packstone,unlithified,1,2.5Y 7/2 (light gray),granule,8,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,PACKSTONE with benthic foraminifera coarsening up. Well-sorted other grains: Echinoderm spines (F). Fine to medium-grained,,,
359-U1465C-4F-2-A,0,140,65.74,67.14,,packstone,3,packstone,unlithified,1,2.5Y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,otolith,,,,,,,absent,0,,,,PACKSTONE with benthic foraminifera coarsening up. Well-sorted. Fine to medium-grained,,,
