Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
369-U1513A-1H-1-A,0,98,0,0.98,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-1-A,98,145,0.98,1.45,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-2-A,0,63,1.5,2.13,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-2-A,63,150,2.13,3,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-3-A,0,50,3,3.5,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-3-A,50,152,3.5,4.52,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-4-A,0,40,4.52,4.92,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 7/1 (light gray),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-4-A,40,70,4.92,5.22,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-1H-CC-A,0,10,5.22,5.32,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-1-W,0,153,5.3,6.83,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8.5/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-2-A,0,12,6.83,6.95,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 7/1 (light gray),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-2-A,12,27,6.95,7.1,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/N (light gray),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-2-A,27,91,7.1,7.74,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-2-A,91,150,7.74,8.33,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/10Y (light greenish gray),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
