Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1425B-1H-4-A,64,118,5.14,5.68,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-4-A,118,131,5.68,5.81,,clay ,,clay ,,,,,5G 6/1 (greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-4-A,131,140,5.81,5.9,,silty clay ,,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-4-A,140,150,5.9,6,,clay ,,clay ,,,,,5G 6/1 (greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-5-A,0,6,6,6.06,,clay ,,clay ,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-5-A,6,22,6.06,6.22,diatom rich,clay ,with foraminifers ,diatom rich clay  with foraminifers ,,,,lamination,2.5Y 4/4 (olive brown),,,,,,,,,,,,,,,,,diatom rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-5-A,22,130,6.22,7.3,,clay ,,clay ,,,,color banding,5Y 5/1 (gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-5-A,130,139,7.3,7.39,,silty clay ,,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-5-A,139,143,7.39,7.43,,tephra ,,tephra ,vitric,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-5-A,143,150,7.43,7.5,,silty clay ,,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-6-A,0,23,7.5,7.73,,silty clay ,,silty clay ,,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-6-A,23,55,7.73,8.05,,clay ,,clay ,,,,,5Y 5/1 (gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-1H-6-A,55,88,8.05,8.38,,silty clay ,,silty clay ,,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
