Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1459B-2X-CC-A,0,19,13.5,13.69,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,beige,mold of fossil,,,,,,,,"Unlithified, beige, gravel size skeletal packstone with fossil molds. Neritic. Destroyed during recovery only core catcher.",,,,356,U1459,B,2,X,CC,A
356-U1459B-3F-1-A,0,56,22.5,23.06,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,hemipelagic,beige,echinoderm,,,,,,gradational,horizontal,This interval could be cave-in material. It is mainly composed of grainstone with echinoderms.,,,,356,U1459,B,3,F,1,A
356-U1459B-3F-1-A,56,150,23.06,24.0,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,beige,Sponge spicules N/A,,,,,,,,The remaining Section is a mudstone containing siliceous sponge spicules (from smear slide observations),,,,356,U1459,B,3,F,1,A
356-U1459B-3F-2-A,0,145,24.0,25.45,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,beige,Sponge spicules N/A,,,,,,,,"Green color, patch of glauconite 128-136 cm. With sponge spicules.",,,,356,U1459,B,3,F,2,A
356-U1459B-3F-3-A,0,121,25.5,26.71,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,beige,bivalve,,,,,,,,Visible fossils: bryozoan and bivalve fragment.,,,,356,U1459,B,3,F,3,A
356-U1459B-3F-3-A,0,121,25.5,26.71,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1459,B,3,F,3,A
356-U1459B-3F-3-A,121,135,26.71,26.85,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,bivalve,,,,,,,,The lower 14 cm of the Section are paler in color and contain a bivalve fragment,,,,356,U1459,B,3,F,3,A
356-U1459B-3F-CC-A,0,15,26.85,27.0,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,,,,,Mudstone with no visible macrofossils or microfossils,,,,356,U1459,B,3,F,CC,A
356-U1459B-4F-1-A,0,36,27.2,27.56,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,hemipelagic,beige,bryozoa,,,,,,,,"Unlithified grainstone containing rare scaphopod, gastropod, bryozona, echinoderm, ocasionally hematite coated grains",,,,356,U1459,B,4,F,1,A
356-U1459B-4F-1-A,0,36,27.2,27.56,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1459,B,4,F,1,A
356-U1459B-4F-1-A,0,36,27.2,27.56,,,,,,,,,gastropod,,,,,,,,,,,,356,U1459,B,4,F,1,A
356-U1459B-4F-1-A,0,36,27.2,27.56,,,,,,,,,scaphopod,,,,,,,,"Unlithified grainstone containing rare scaphopod, gastropod, bryozona, echinoderm",,,,356,U1459,B,4,F,1,A
356-U1459B-4F-1-A,36,150,27.56,28.7,unlithified [Leg194],,siltstone [USGS],,,siltstone,hemipelagic,cream,bryozoa,,,,,,,,"Unilithified siltsone with rare patch of glauconite at 60-70 cm, recognized by green color. The Section contains sponge spicules and bryozoan.",,,,356,U1459,B,4,F,1,A
356-U1459B-4F-1-A,36,150,27.56,28.7,,,,,,,,,Sponge spicules N/A,,,,,,,,,,,,356,U1459,B,4,F,1,A
