Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1501C-1H-1-A,0,21.0,0.0,0.21,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,7.5YR 6/3 (light brown),,clay [W22_1],1,,,,,,,gradational,horizontal,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,1,A
368-U1501C-1H-1-A,21,55.0,0.21,0.55,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 6/10Y (greenish gray),,clay [W22_1],1,,,,,,,gradational,horizontal,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,1,A
368-U1501C-1H-1-A,55,120.0,0.55,1.2,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay [W22_1],1,,,,,,,gradational,horizontal,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,1,A
368-U1501C-1H-1-A,120,150.0,1.2,1.5,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/N (dark gray),,clay [W22_1],1,,,,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,1,A
368-U1501C-1H-2-A,0,145.0,1.5,2.95,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/N (dark gray),,clay [W22_1],1,,,,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,2,A
368-U1501C-1H-3-A,0,104.0,3.0,4.04,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/N (dark gray),,clay [W22_1],1,,,,,,,gradational,horizontal,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,3,A
368-U1501C-1H-3-A,104,150.0,4.04,4.5,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/N (dark gray),,clay [W22_1],1,,,,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,3,A
368-U1501C-1H-4-A,0,150.0,4.5,6.0,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay [W22_1],1,,,,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,4,A
368-U1501C-1H-5-A,0,53.0,6.0,6.53,clay rich,calcareous ooze [Leg339],with silt [2014],clay rich calcareous ooze,clay rich calcareous ooze with silt,,GLEY 1 4/10Y (dark greenish gray),,clay [W22_1],1,,,,,,,gradational,horizontal,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,5,A
368-U1501C-1H-5-A,53,145.0,6.53,7.45,clay rich,calcareous ooze [Leg339],,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay [W22_1],1,,,,,,,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,5,A
