Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
362-U1480F-3H-1-A,0.0,150.0,106.8,108.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,,moderate,,,Severe coring disturbance 115-122 cm shows vestiges of clay layer 1 cm-thick deformed symmetrically about core axis. Soupy sand,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,1,A
362-U1480F-3H-2-A,0.0,67.0,108.3,108.97,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,,moderate,,,Severe coring disturbance. Soupy sand,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A
362-U1480F-3H-2-A,67.0,109.0,108.97,109.39,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,,poor,,,Severe coring disturbance. Soupy sand,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A
362-U1480F-3H-2-A,109.0,147.0,109.39,109.77,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,,poor,,,,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A
362-U1480F-3H-2-A,147.0,150.0,109.77,109.8,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,silt,2.0,non-graded,poor,,,,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A
362-U1480F-3H-3-A,0.0,6.0,109.8,109.86,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 4/N (dark gray),planar,gradational,planar gradational,horizontal,thick lamina,unlithified,fine sand,4.0,normal grading,moderate,clay,silt,,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-3-A,6.0,19.0,109.86,109.99,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,fine sand,4.0,normal grading,moderate,fine sand,silt,,planar lamination,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-3-A,19.0,23.5,109.99,110.035,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),wavy,sharp,wavy sharp,sub-horizontal,thin lamina,unlithified,clay,1.0,non-graded,,,,,planar lamination,slight,3.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-3-A,23.5,30.5,110.035,110.105,IIA,,silt,,silt,silt,silt,,GLEY 1 8/N (white gray),irregular,sharp,irregular sharp,inclined,thin bed,unlithified,fine sand,4.0,normal grading,well,fine sand,silt,very well sorted silt,planar lamination,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-3-A,30.5,53.0,110.105,110.33,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin bed,unlithified,fine sand,4.0,non-graded,moderate,,,,planar lamination,slight,3.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-3-A,53.0,63.5,110.33,110.435,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),irregular,sharp,irregular sharp,sub-horizontal,,unlithified,fine sand,4.0,non-graded,moderate,,,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-3-A,63.5,131.0,110.435,111.11,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 5/N (gray),,,,,,unlithified,fine sand,4.0,non-graded,,,,Severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A
362-U1480F-3H-4-A,0.0,131.0,111.3,112.61,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,moderate,,,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,3,H,4,A
362-U1480F-3H-5-A,0.0,77.5,112.8,113.575,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,moderate,,,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,3,H,5,A
362-U1480F-3H-5-A,77.5,150.0,113.575,114.3,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,5,A
362-U1480F-3H-6-A,0.0,150.0,114.3,115.8,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,6,A
362-U1480F-3H-7-A,0.0,70.0,115.8,116.5,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,7,A
362-U1480F-3H-CC-A,0.0,21.0,116.5,116.71,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,CC,A
362-U1480F-4H-1-A,0.0,67.0,116.3,116.97,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4.0,non-graded,poor,,,Core disturbance is moderately severe. Beds sheared into pods/lenses of clay and sand.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,1,A
362-U1480F-4H-1-A,67.0,120.5,116.97,117.505,IIA,,silty clay,with sand,silty clay,silty clay with sand,silty clay with sand,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4.0,normal grading,poor,clay,fine sand,Core disturbance.,planar lamination,sparse,2.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,4,H,1,A
362-U1480F-4H-1-A,120.5,130.0,117.505,117.6,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4.0,non-graded,poor,,,,planar lamination,sparse,2.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,4,H,1,A
362-U1480F-4H-2-A,0.0,14.0,117.8,117.94,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4.0,non-graded,poor,,,,planar lamination,sparse,2.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A
362-U1480F-4H-2-A,14.0,23.0,117.94,118.03,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,silt,2.0,non-graded,poor,,,Matrix-supported clay-clast rich deposit.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A
362-U1480F-4H-2-A,23.0,82.0,118.03,118.62,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4.0,non-graded,poor,,,Angular clay clasts at 25 cm. Probably drilling induced.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A
362-U1480F-4H-2-A,82.0,87.0,118.62,118.67,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),irregular,sharp,irregular sharp,inclined,,unlithified,silt,2.0,non-graded,moderate,,,Coring disturbance at both margins of lithology.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A
362-U1480F-4H-2-A,87.0,150.0,118.67,119.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4.0,non-graded,poor,,,Angular clay clasts at 89-99 cm. Probably drilling induced.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A
362-U1480F-4H-3-A,0.0,150.0,119.3,120.8,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,3,A
362-U1480F-4H-4-A,0.0,150.0,120.8,122.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,4,A
362-U1480F-4H-5-A,0.0,150.0,122.3,123.8,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,5,A
362-U1480F-4H-6-A,0.0,150.0,123.8,125.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,6,A
362-U1480F-4H-7-A,0.0,70.0,125.3,126.0,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,7,A
362-U1480F-4H-CC-A,0.0,6.0,126.0,126.06,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,CC,A
362-U1480F-5H-1-A,0.0,15.0,125.8,125.95,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,silt,2.0,non-graded,poor,,,Some coring disturbance.,,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A
362-U1480F-5H-1-A,15.0,37.0,125.95,126.17,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4.0,normal grading,poor,silt,fine sand,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A
362-U1480F-5H-1-A,37.0,82.0,126.17,126.62,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,medium bed,unlithified,silt,2.0,normal grading,moderate,clay,silt,"Normally graded silt beds show lower ripple lamination (light colored mm-scale layer) overlain by cm-scale dark layer with greater amount of pyrite, overlain by structureless mud. Lower silt is well sorted and upper part of silt is poorly sorted. Reduced organic mater in dark layers. Clays at 47cm are clays with calcite (see smear slides descriptions and XRD measurements).",planar lamination,slight,3.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A
362-U1480F-5H-1-A,82.0,129.0,126.62,127.09,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed,unlithified,fine sand,4.0,normal grading,moderate,silt,fine sand,87-98 shows climbing ripple lamination picked out by alternating dark/light colored laminae. Darker layers are coarser an dcontain pyrite and 5% micas.,cross-lamination,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A
