Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431B-1H-10-A,0,3,5.0,5.03,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,thin bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,10,A
349-U1431B-1H-10-A,3,25,5.03,5.25,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,medium bed [B01],graded bedding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,10,A
349-U1431B-1H-10-A,25,39,5.25,5.39,,Clay [Leg339],with silt [Leg339],Clay ,Clay with silt ,,GLEY 1 5/10Y (greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,10,A
349-U1431B-1H-11-A,0,8,5.5,5.58,,silty clay [MMK88],,silty clay ,silty clay ,,GLEY 1 3/10Y (very dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,11,A
349-U1431B-1H-11-A,8,18,5.58,5.68,,silty clay [MMK88],,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,11,A
349-U1431B-1H-11-A,18,40,5.68,5.9,,Clay [Leg339],with silt [Leg339],Clay ,Clay with silt ,,GLEY 1 5/10Y (greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,11,A
349-U1431B-1H-12-A,0,4,6.0,6.04,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,thin bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,12,A
349-U1431B-1H-12-A,4,27,6.04,6.27,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,12,A
349-U1431B-1H-12-A,27,39,6.27,6.39,,Clay [Leg339],with silt [Leg339],Clay ,Clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,12,A
349-U1431B-1H-13-A,0,39,6.5,6.89,,Clay [Leg339],with silt [Leg339],Clay ,Clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,B,1,H,13,A
