Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data
329-U1368B-1H-1-A,329,U1368,B,1,1-1,H,1,A,0,150,0,1.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-1H-2-A,329,U1368,B,1,1-2,H,2,A,0,150,1.5,3,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-1H-3-A,329,U1368,B,1,1-3,H,3,A,0,53,3,3.53,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-1H-3-A,329,U1368,B,1,1-3,H,3,A,53,150,3.53,4.5,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-1H-4-A,329,U1368,B,1,1-4,H,4,A,0,87,4.5,5.37,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-1H-CC-A,329,U1368,B,1,1-CC,H,CC,A,0,12,5.37,5.49,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-2H-1-A,329,U1368,B,2,2-1,H,1,A,0,150,5.5,7,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-2H-2-A,329,U1368,B,2,2-2,H,2,A,0,150,7,8.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-2H-3-A,329,U1368,B,2,2-3,H,3,A,0,150,8.5,10,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-2H-4-A,329,U1368,B,2,2-4,H,4,A,0,150,10,11.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-2H-5-A,329,U1368,B,2,2-5,H,5,A,0,100,11.5,12.5,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368B-2H-6-A,329,U1368,B,2,2-6,H,6,A,0,99,12.5,13.49,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
329-U1368B-2H-6-A,329,U1368,B,2,2-6,H,6,A,99,118,13.49,13.68,,sand [S54],,sand,"Shepard, 1954",,,,,,
329-U1368B-2H-6-A,329,U1368,B,2,2-6,H,6,A,118,150,13.68,14,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
329-U1368B-2H-7-A,329,U1368,B,2,2-7,H,7,A,0,4,14,14.04,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
,329,U1368,B,2,2-7,H,7,A,4,10,14.04,14.1,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",50,,,gradational boundary,,
329-U1368B-2H-7-A,329,U1368,B,2,2-7,H,7,A,4,10,14.04,14.1,,sand [S54],,sand,,50,,,gradational boundary,,
329-U1368B-2H-7-A,329,U1368,B,2,2-7,H,7,A,10,14,14.1,14.14,,sand [S54],,sand,"Shepard, 1954",,,,,,
329-U1368B-2H-7-A,329,U1368,B,2,2-7,H,7,A,14,20,14.14,14.2,,sand [S54],,sand,"Shepard, 1954",50,,,,,
329-U1368B-2H-7-A,329,U1368,B,2,2-7,H,7,A,20,30,14.2,14.3,,sand [S54],,sand,"Shepard, 1954",,,,very dark gray sand,,
329-U1368B-2H-7-A,329,U1368,B,2,2-7,H,7,A,30,51,14.3,14.51,,sand [S54],,sand,"Shepard, 1954",,,,dark greenish gray sand,,
329-U1368B-2H-CC-A,329,U1368,B,2,2-CC,H,CC,A,10,23,14.6,14.73,,sand [S54],,sand,"Shepard, 1954",,,,dark greenish gray sand,,
329-U1368B-3H-1-A,329,U1368,B,3,3-1,H,1,A,0,10,15,15.1,,sandstone [S54],,sandstone,"Shepard, 1954",,,,dark greenish sandstone,,
329-U1368B-3H-1-A,329,U1368,B,3,3-1,H,1,A,10,100,15.1,16,,clay [S54] ,,clay,"Shepard, 1954",,,,"mixture of clay, ooze, and sand",,
329-U1368B-3H-CC-A,329,U1368,B,3,3-CC,H,CC,A,0,12,16,16.12,,clay [S54] ,,clay,"Shepard, 1954",,,,"mixture of clay, ooze, and sand",,
