Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1421A-1H-1-A,0,150,0,1.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,1,A,
341-U1421A-1H-2-A,0,145,1.5,2.95,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,2,A,
341-U1421A-1H-2-A,145,150,2.95,3,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,1,H,2,A,
341-U1421A-1H-3-A,0,25,3,3.25,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,3,A,
341-U1421A-1H-3-A,25,150,3.25,4.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"below 112 cm, slight black mottling, FeO",,,,,,341,U1421,A,1,H,3,A,
341-U1421A-1H-4-A,0,21,4.5,4.71,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,4,A,
341-U1421A-1H-4-A,21,72,4.71,5.22,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,63-72: black mottling,,biotubated,,,,341,U1421,A,1,H,4,A,
341-U1421A-1H-4-A,72,87,5.22,5.37,diatom rich,mud [Leg210],with foraminifers [Leg339],diatom rich mud  with foraminifers ,,,,10Y 4/2 (grayish green),slight [DB86],1,,,,,,,,,,,,black mottling,,,,,,341,U1421,A,1,H,4,A,
341-U1421A-1H-4-A,87,145,5.37,5.95,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,black mottling (thin flecks 110-145cm),,,,,,341,U1421,A,1,H,4,A,
341-U1421A-1H-4-A,145,150,5.95,6,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,1,H,4,A,
341-U1421A-1H-5-A,0,7,6,6.07,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,5,A,
