Sample,Exp,,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1406A-1H-1-A,342,,U1406,A,1,1-1,H,1,A,0,86,0.0,0.86,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 6/3 (pale brown),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1406A-1H-1-A,342,,U1406,A,1,1-1,H,1,A,86,150,0.86,1.5,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,7.5YR 6/4 (light brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1406A-1H-2-A,342,,U1406,A,1,1-2,H,2,A,0,112,1.5,2.62,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,7.5YR 6/4 (light brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1406A-1H-2-A,342,,U1406,A,1,1-2,H,2,A,112,150,2.62,3.0,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406A-1H-3-A,342,,U1406,A,1,1-3,H,3,A,0,150,3.0,4.5,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406A-1H-4-A,342,,U1406,A,1,1-4,H,4,A,0,95,4.5,5.45,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406A-1H-5-A,342,,U1406,A,1,1-5,H,5,A,0,60,5.5,6.1,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406A-1H-CC-A,342,,U1406,A,1,1-CC,H,CC,A,0,10,6.1,6.2,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406A-2H-1-A,342,,U1406,A,2,2-1,H,1,A,0,150,6.2,7.7,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406A-2H-2-A,342,,U1406,A,2,2-2,H,2,A,0,150,7.7,9.2,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
