Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
356-U1463C-1H-1-A,0,150,0,1.5,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,echinoderm,,,,,,,,"Unlithified, homogeneous creamy gray wackestone with silt to very fine sand size grains.",,,
356-U1463C-1H-1-A,0,150,0,1.5,,,,,,,,,bryozoa,,,,,,,,,,,
356-U1463C-1H-1-A,0,150,0,1.5,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,
356-U1463C-1H-2-A,0,150,1.5,3,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,bivalve,,,,,,,,"Unlithified, homogeneous creamy gray wackestone with silt to very fine sand size grains.",,,
356-U1463C-1H-2-A,0,150,1.5,3,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1463C-1H-2-A,0,150,1.5,3,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,
356-U1463C-1H-2-A,0,150,1.5,3,,,,,,,,,pteropod,,,,,,,,,,,
356-U1463C-1H-3-A,0,94,3,3.94,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,bryozoa,,,,,,,,"Unlithified, homogeneous creamy gray wackestone with silt to very fine sand size grains.",,,
356-U1463C-1H-3-A,0,94,3,3.94,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,
356-U1463C-1H-3-A,0,94,3,3.94,,,,,,,,,gastropod,,,,,,,,,,,
356-U1463C-1H-3-A,0,94,3,3.94,,,,,,,,,pteropod,,,,,,,,,,,
356-U1463C-1H-CC-A,0,12,3.94,4.06,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,bryozoa,,,,,,,,"Unlithified, homogeneous creamy gray wackestone with silt to very fine sand size grains.",,,
356-U1463C-1H-CC-A,12,17,4.06,4.11,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,
356-U1463C-2H-1-A,0,150,4.1,5.6,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,pteropod,,,,,,,,"Unlithified light greenish gray wackestone with vfs to silt size grain, and macrofossils.",,,
356-U1463C-2H-1-A,0,150,4.1,5.6,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1463C-2H-2-A,0,110,5.6,6.7,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,pteropod,,,,slight [B06],2,gradational,sub-horizontal,"Unlithified, homogeneous creamy gray wackestone with silt to very fine sand size grains. It contains fine to medium sand size dark green grains. At the lowermost part, packstone patches is intercalated with wackestone, possibly bioturbation.",,,
356-U1463C-2H-2-A,0,110,5.6,6.7,,,,,,,,,bivalve,,,,,,,,,,,
356-U1463C-2H-2-A,0,110,5.6,6.7,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,
356-U1463C-2H-2-A,0,110,5.6,6.7,,,,,,,,,trace fossil,,,,,,,,,,,
356-U1463C-2H-2-A,110,152,6.7,7.12,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,light greenish gray,pteropod,,,,,,,,"Unlithified, homogeneous light greenish gray mudstone with macrofossils fragments.",,,
356-U1463C-2H-3-A,0,150,7.12,8.62,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,light greenish gray,pteropod,,,,slight [B06],2,,,"Unlithified, homogeneous light greenish gray mudstone with macrofossils fragments.",,,
356-U1463C-2H-3-A,0,150,7.12,8.62,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1463C-2H-4-A,0,150,8.62,10.12,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,light greenish gray,pteropod,,,,,,,,"Unlithified, homogeneous light greenish gray mudstone with macrofossils fragments.",,,
356-U1463C-2H-4-A,0,150,8.62,10.12,,,,,,,,,bivalve,,,,,,,,,,,
356-U1463C-2H-4-A,0,150,8.62,10.12,,,,,,,,,gastropod,,,,,,,,,,,
