Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data
339-U1389B-1H-1-A,339,U1389,B,1,1-1,H,1,A,0,15,0,0.15,calcareous [Leg339],sandy silt [Leg339],,calcareous   sandy silt ,calcareous  sandy silt ,sandy silt ,100,5Y 4/2 (olive gray),clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,,,100,irregular contact,,,,,,sparse_339 [DB91],2,,,,100,100,
339-U1389B-1H-1-A,339,U1389,B,1,1-1,H,1,A,15,78,0.15,0.78,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,few [A48],,Shell fragments and forams present,100,100,
339-U1389B-1H-1-A,339,U1389,B,1,1-1,H,1,A,78,150,0.78,1.5,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,few [A48],,Shell fragments and forams present,100,100,
339-U1389B-1H-2-A,339,U1389,B,1,1-2,H,2,A,0,138,1.5,2.88,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 [DB91],2,few [A48],,Shell fragments and forams present,100,100,
339-U1389B-1H-2-A,339,U1389,B,1,1-2,H,2,A,138,150,2.88,3,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,,,,100,100,
339-U1389B-1H-3-A,339,U1389,B,1,1-3,H,3,A,0,48,3,3.48,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/2 (olive gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,sharp contact,,,,,,sparse_339 [DB91],2,,,,100,100,
339-U1389B-1H-3-A,339,U1389,B,1,1-3,H,3,A,48,98,3.48,3.98,calcareous [Leg339],silty sand [Leg339],,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,5Y 4/2 (olive gray),fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,,100,irregular contact,,,,,,absent_339 [DB91],1,,,Shell fragments present,100,100,
339-U1389B-1H-3-A,339,U1389,B,1,1-3,H,3,A,98,125,3.98,4.25,calcareous [Leg339],silty sand [Leg339],,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,5Y 4/1 (dark gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,rare [A48],,Bivalve shell fragment present,100,100,
339-U1389B-1H-3-A,339,U1389,B,1,1-3,H,3,A,125,150,4.25,4.5,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5y 4/1 (dark gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,rare [A48],,Shell fragments present,100,100,
339-U1389B-1H-4-A,339,U1389,B,1,1-4,H,4,A,0,45,4.5,4.95,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5y 4/1 (dark gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,rare [A48],,Shell fragments and forams present,100,100,
339-U1389B-1H-4-A,339,U1389,B,1,1-4,H,4,A,45,121,4.95,5.71,calcareous [Leg339],Mud [Leg339],,calcareous   Mud ,calcareous  Mud ,Mud ,100,5Y 4/1 (dark gray),Clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Forams present,100,100,
339-U1389B-1H-4-A,339,U1389,B,1,1-4,H,4,A,121,129,5.71,5.79,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,irregular contact,,,,,,slight_339 [DB91],3,,,,100,100,
339-U1389B-1H-4-A,339,U1389,B,1,1-4,H,4,A,129,150,5.79,6,calcareous [Leg339],sand [Leg339],,calcareous   sand ,calcareous  sand ,sand ,100,5Y 4/1 (dark gray),fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,common [A48],,Shell fragments present ,100,100,
339-U1389B-1H-5-A,339,U1389,B,1,1-5,H,5,A,0,8,6,6.08,calcareous [Leg339],sand [Leg339],,calcareous   sand ,calcareous  sand ,sand ,100,5Y 4/1 (dark gray),fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,,100,irregular contact,,,,,,slight_339 [DB91],3,common [A48],,Shell fragments present ,100,100,
339-U1389B-1H-5-A,339,U1389,B,1,1-5,H,5,A,8,150,6.08,7.5,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,few [A48],,"Shell fragments, including broken bivalves present. Forams present",100,100,
339-U1389B-1H-6-A,339,U1389,B,1,1-6,H,6,A,0,26,7.5,7.76,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,irregular contact,,,,,,slight_339 [DB91],3,rare [A48],,Shell fragments and forams present,100,100,
339-U1389B-1H-6-A,339,U1389,B,1,1-6,H,6,A,26,140,7.76,8.9,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,few [A48],,"Shell fragments, including broken Scaphopoda present. Forams and pyrite filled burrows present",100,100,
339-U1389B-1H-7-A,339,U1389,B,1,1-7,H,7,A,0,20,8.9,9.1,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,irregular contact,,,,,,sparse_339 [DB91],2,few [A48],,"Shell fragments, including broken Scaphopoda present. Forams and pyrite filled burrows present",100,100,
339-U1389B-1H-7-A,339,U1389,B,1,1-7,H,7,A,20,57,9.1,9.47,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,,100,100,
339-U1389B-1H-CC-A,339,U1389,B,1,1-CC,H,CC,A,0,25,9.47,9.72,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,,100,100,
