Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1487B-1H-1-A,0,5,0,0.05,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,10YR 5/3 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-1H-1-A,5,150,0.05,1.5,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/3 (pale olive),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-1H-2-A,0,101,1.5,2.51,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/3 (pale olive),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-1H-CC-A,0,20,2.51,2.71,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/3 (pale olive),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-1-A,0,146,2.7,4.16,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-2-A,0,93,4.2,5.13,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-2-A,93,100,5.13,5.2,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-2-A,100,150,5.2,5.7,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-3-A,0,150,5.7,7.2,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-4-A,0,49,7.2,7.69,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-4-A,49,58,7.69,7.78,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1487B-2H-4-A,58,126,7.78,8.46,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,
