Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
329-U1371B-1H-1-A,329,U1371,B,1,1-1,H,1,A,0,150,0.0,1.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1371B-1H-2-A,329,U1371,B,1,1-2,H,2,A,0,150,1.5,3.0,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1371B-1H-3-A,329,U1371,B,1,1-3,H,3,A,0,150,3.0,4.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1371B-1H-4-A,329,U1371,B,1,1-4,H,4,A,0,150,4.5,6.0,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1371B-1H-5-A,329,U1371,B,1,1-5,H,5,A,0,150,6.0,7.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1371B-1H-6-A,329,U1371,B,1,1-6,H,6,A,0,48,7.5,7.98,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1371B-1H-CC-A,329,U1371,B,1,1-CC,H,CC,A,0,17,7.98,8.15,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
