Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1467D-2H-1-A,0,19,1.5,1.69,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Bioclasts (P). Poorly preserved burrows.,,,
359-U1467D-2H-1-A,19,65,1.69,2.15,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Bioclasts (P). Poorly preserved burrows.,,,
359-U1467D-2H-1-A,65,79,2.15,2.29,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Bioclasts (P). Poorly preserved burrows.,,,
359-U1467D-2H-1-A,79,150,2.29,3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Bioclasts (P). Poorly preserved burrows.,,,
359-U1467D-2H-2-A,0,150,3,4.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-3-A,0,62,4.5,5.12,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-3-A,62,150,5.12,6,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,pteropod,fragments,foraminifera (benthic),,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-4-A,0,46,6,6.46,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-4-A,46,150,6.46,7.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-5-A,0,150,7.5,9,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-6-A,0,41,9,9.41,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-6-A,41,98,9.41,9.98,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-6-A,98,150,9.98,10.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-2H-7-A,0,71,10.5,11.21,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
