Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1408C-1H-3-A,342,U1408,C,1,1-3,H,3,A,68,105,3.68,4.05,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 7/2 (light gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-3-A,342,U1408,C,1,1-3,H,3,A,105,122,4.05,4.22,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-3-A,342,U1408,C,1,1-3,H,3,A,122,150,4.22,4.5,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,0,10,4.5,4.6,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,7.5YR 6/2 (pinkish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,10,20,4.6,4.7,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,20,40,4.7,4.9,,clay [Leg339],,clay ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,40,60,4.9,5.1,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,60,94,5.1,5.44,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,94,127,5.44,5.77,sandy [Leg339],foraminiferal ooze [Leg339],,sandy  foraminiferal ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,127,136,5.77,5.86,,clay [Leg339],,clay ,7.5YR 5/3 (brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
