Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
352-U1440A-1H-3-A,47.0,49.0,3.19,3.21,IA,irregular,sharp,sub-horizontal,tuffaceous,fine sand,,tuffaceous fine sand,tuffaceous fine sand,fine sand,,10YR 5/3 (brown),,unconsolidated,fine sand,4.0,coarse sand,6.0,,,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,1,H,3,A,,,
352-U1440A-1H-3-A,49.0,75.0,3.21,3.47,IA,,,,,mud,,mud,mud,mud,,10YR 5/3 (brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,,slight,1.0,,,,,,,,,,,,,,,352,U1440,A,1,H,3,A,,,
352-U1440A-1H-CC-A,0.0,24.0,3.47,3.71,IA,,,,,mud,,mud,mud,mud,,10YR 5/3 (brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,,slight,1.0,,,,,,,,,,,,,,,352,U1440,A,1,H,CC,A,,,
352-U1440A-2H-1-A,0.0,134.0,3.7,5.04,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,1,A,,,
352-U1440A-2H-1-A,134.0,136.0,5.04,5.06,IA,,,,tuffaceous,fine sand,,tuffaceous fine sand,tuffaceous fine sand,fine sand,,10YR 3/1 (very dark gray),thin bed,unconsolidated,fine sand,4.0,medium sand,5.0,,,normally graded,,,,,,,,,,,,,,,,,,352,U1440,A,2,H,1,A,,,
352-U1440A-2H-1-A,136.0,150.0,5.06,5.2,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,1,A,,,
352-U1440A-2H-2-A,0.0,150.0,5.2,6.7,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,pyrite,,,,,,,,,,,,,352,U1440,A,2,H,2,A,,,
352-U1440A-2H-3-A,0.0,145.0,6.7,8.15,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,pyrite,,,,,,,,,,,,,352,U1440,A,2,H,3,A,,,
352-U1440A-2H-3-A,145.0,150.0,8.15,8.2,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,352,U1440,A,2,H,3,A,,,
352-U1440A-2H-4-A,0.0,138.0,8.2,9.58,IA,irregular,sharp,inclined,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,pyrite,,,,,,,,,,,,,352,U1440,A,2,H,4,A,,,
352-U1440A-2H-4-A,138.0,150.0,9.58,9.7,IA,,,,,ash,,ash,ash,ash,,10YR 7/2 (light gray),medium bed,unconsolidated,fine sand,4.0,medium sand,5.0,,,normally graded,planar lamination,none,0.0,,,,,,,,,,,,,,,352,U1440,A,2,H,4,A,,,
352-U1440A-2H-5-A,0.0,71.0,9.7,10.41,IA,irregular,sharp,inclined,,ash,,ash,ash,ash,,2.5Y 6/2 (light brownish gray),thick bed,unconsolidated,fine sand,4.0,medium sand,5.0,Upper part reworked from 29 cm on toward top; normally graded to silt,,normally graded,,,,,,,,,,,,,,,,,,352,U1440,A,2,H,5,A,,,
352-U1440A-2H-5-A,71.0,85.0,10.41,10.55,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,5,A,,,
352-U1440A-2H-5-A,85.0,86.0,10.55,10.56,IA,irregular,sharp,sub-horizontal,tuffaceous,fine sand,,tuffaceous fine sand,tuffaceous fine sand,fine sand,,2.5Y 6/2 (light brownish gray),thin bed,unconsolidated,fine sand,4.0,medium sand,5.0,,,normally graded,,,,,,,,,,,,,,,,,,352,U1440,A,2,H,5,A,,,
352-U1440A-2H-5-A,86.0,146.0,10.56,11.16,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,5,A,,,
352-U1440A-2H-5-A,146.0,148.0,11.16,11.18,IA,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,10YR 5/1 (gray),thin bed,unconsolidated,fine sand,4.0,fine sand,4.0,,,non-graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,2,H,5,A,,,
352-U1440A-2H-5-A,148.0,150.0,11.18,11.2,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,5,A,,,
352-U1440A-2H-6-A,0.0,2.0,11.2,11.22,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
352-U1440A-2H-6-A,2.0,3.0,11.22,11.23,IA,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,2.5Y 7/2 (light gray),thin bed,unconsolidated,fine sand,4.0,fine sand,4.0,,,non-graded,,,,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
352-U1440A-2H-6-A,3.0,43.0,11.23,11.63,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
352-U1440A-2H-6-A,43.0,44.0,11.63,11.64,IA,irregular,scoured,sub-horizontal,,ash,,ash,ash,ash,,2.5Y 8/1 (white),thick lamina,unconsolidated,silt,2.0,fine sand,4.0,,,non-graded,,,,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
352-U1440A-2H-6-A,44.0,80.0,11.64,12.0,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
352-U1440A-2H-6-A,80.0,81.0,12.0,12.01,IA,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,2.5Y 7/2 (light gray),thin bed,unconsolidated,fine sand,4.0,medium sand,5.0,,,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
