Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1461A-1F-1-A,0,150,0.0,1.5,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,olive gray,foraminifera (small benthic),,,,,,,,"Unlithified, olive gray homogeneous packstone with glauconite and foraminifers.",,,,356,U1461,A,1,F,1,A
356-U1461A-1F-1-A,0,150,0.0,1.5,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1461,A,1,F,1,A
356-U1461A-1F-CC-A,0,5,1.5,1.55,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,olive gray,,,,,,,,,"Unlithified, olive gray, homogeneous packstone with glauconite and foraminifers.",,,,356,U1461,A,1,F,CC,A
356-U1461A-2F-1-A,0,141,1.6,3.01,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,pale olive,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified homogeneous pale olive (10Y 6/2) packstone with benthic foraminifera.,,,,356,U1461,A,2,F,1,A
356-U1461A-2F-1-A,141,150,3.01,3.1,,,,,,,,,,,,,,,,,VOID,,,,356,U1461,A,2,F,1,A
356-U1461A-2F-2-A,0,145,3.1,4.55,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,pale olive,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified homogeneous pale olive (10Y 6/2) packstone with benthic foraminifera.,,,,356,U1461,A,2,F,2,A
356-U1461A-2F-2-A,145,150,4.55,4.6,,,,,,,,,,,,,,,,,IW,,,,356,U1461,A,2,F,2,A
356-U1461A-2F-3-A,0,143,4.6,6.03,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light olive,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified homogeneous light olive (10Y 5/4) packstone with benthic foraminifera.,,,,356,U1461,A,2,F,3,A
356-U1461A-2F-CC-A,0,10,6.03,6.13,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light olive,,,,,,,,,,,,,356,U1461,A,2,F,CC,A
356-U1461A-2F-CC-A,10,20,6.13,6.23,,,,,,,,,,,,,,,,,to paleo,,,,356,U1461,A,2,F,CC,A
356-U1461A-3F-1-A,0,150,6.3,7.8,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,pale yellowish brown 10YR 6/2,foraminifera (small benthic),,,,,,,,"Unlithified, homogeneous moderate pale yellowish brown (10Y 6/2) packstone with benthic foraminifera.",,,,356,U1461,A,3,F,1,A
356-U1461A-3F-1-A,0,150,6.3,7.8,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,3,F,1,A
