Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data
329-U1365B-1H-1-A,329,U1365,B,1,1-1,H,1,A,0,30,0,0.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-1-A,329,U1365,B,1,1-1,H,1,A,40,80,0.4,0.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-1-A,329,U1365,B,1,1-1,H,1,A,90,130,0.9,1.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-1-A,329,U1365,B,1,1-1,H,1,A,140,150,1.4,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-2-A,329,U1365,B,1,1-2,H,2,A,0,30,1.5,1.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-2-A,329,U1365,B,1,1-2,H,2,A,40,50,1.9,2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-2-A,329,U1365,B,1,1-2,H,2,A,90,100,2.4,2.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-2-A,329,U1365,B,1,1-2,H,2,A,140,150,2.9,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-3-A,329,U1365,B,1,1-3,H,3,A,0,30,3,3.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-3-A,329,U1365,B,1,1-3,H,3,A,40,70,3.4,3.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-3-A,329,U1365,B,1,1-3,H,3,A,80,96,3.8,3.96,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-1H-CC-A,329,U1365,B,1,1-CC,H,CC,A,0,15,3.96,4.11,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-1-A,329,U1365,B,2,2-1,H,1,A,0,65,4.1,4.75,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-1-A,329,U1365,B,2,2-1,H,1,A,65,130,4.75,5.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-1-A,329,U1365,B,2,2-1,H,1,A,140,150,5.5,5.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-2-A,329,U1365,B,2,2-2,H,2,A,0,65,5.6,6.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-2-A,329,U1365,B,2,2-2,H,2,A,75,130,6.35,6.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-2-A,329,U1365,B,2,2-2,H,2,A,140,150,7,7.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-3-A,329,U1365,B,2,2-3,H,3,A,0,65,7.1,7.75,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-3-A,329,U1365,B,2,2-3,H,3,A,75,130,7.85,8.4,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-3-A,329,U1365,B,2,2-3,H,3,A,140,150,8.5,8.6,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-4-A,329,U1365,B,2,2-4,H,4,A,0,65,8.6,9.25,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-2H-4-A,329,U1365,B,2,2-4,H,4,A,75,85,9.35,9.45,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
