Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
366-U1491B-1H-1-A,0,76,0,0.76,I,,,,planar,sharp,horizontal,clayey,mud,with lithic clasts,clayey mud with lithic clasts,7.5YR 4/4 (brown),massive,unconsolidated,clay,1,silt,2,,well,,,,lithic,1,granule,8,granule,8,angular,,,,,,,,black,,,,,,,,366,U1491,B,1,H,1,A,,,,
366-U1491B-1H-1-A,76,142,0.76,1.42,I,,,,irregular,sharp,horizontal,"clast-supported, monomict",pebbly mud,with lithic clasts,"clast-supported, monomict pebbly mud with lithic clasts",7.5YR 3/4 (dark brown),massive,unconsolidated,very coarse sand,7,pebble,9,,well,normally graded,,,lithic,50,very coarse sand,7,pebble,9,angular,,,,,,,,mud fragments,,,,,,,,366,U1491,B,1,H,1,A,,,,
366-U1491B-1H-1-A,142,150,1.42,1.5,I,,,,,,,clayey,mud,,clayey mud,7.5YR 4/4 (brown),massive,unconsolidated,clay,1,clay,1,,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,1,H,1,A,,,,
366-U1491B-1H-2-A,0,101,1.5,2.51,I,,,,,,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,10YR 3/4 (dark yellowish brown),massive,unconsolidated,clay,1,clay,1,,well,,,,lithic,1,granule,8,granule,8,angular,,,,,,,,greenish,,,,,,,,366,U1491,B,1,H,2,A,,,,
366-U1491B-1H-2-A,101,156,2.51,3.06,I,,,,,,,,,,,,,,,,,,Microbiology sample whole round,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,1,H,2,A,,,,
366-U1491B-1H-3-A,0,44.5,3.06,3.505,I,,,,,,,clayey,mud,with localized discolorations,clayey mud with localized discolorations,7.5YR 4/3 (brown),massive,unconsolidated,clay,1,clay,1,,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,1,H,3,A,,,,
366-U1491B-1H-3-A,44.5,48,3.505,3.54,I,,,,,,,,,,,,,,,,,,void space,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,1,H,3,A,,,,
366-U1491B-1H-CC-A,0,15,3.54,3.69,I,,,,,hardground,,clayey,mud,,clayey mud,7.5YR 3/3 (dark brown),massive,consolidated,clay,1,clay,1,,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,1,H,CC,A,,,,
366-U1491B-2H-1-A,0,38,3.7,4.08,I,,,,irregular,wavy,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,7.5YR 4/4 (brown),massive,unconsolidated,clay,1,clay,1,,well,,,,lithic,1,pebble,10,pebble,9,angular,,,,,,,,,,,,,,,,366,U1491,B,2,H,1,A,,,,
366-U1491B-2H-1-A,38,95,4.08,4.65,I,,,,irregular,wavy,,clayey,mud,with carbonate clasts,clayey mud with carbonate clasts,7.5YR 4/4 (brown),massive,unconsolidated,clay,1,clay,1,,,,,,carbonate,5,pebble,10,pebble,9,angular,,,,,,,,,,,,,,,,366,U1491,B,2,H,1,A,,,,
