Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
329-U1366D-1H-1-A,329,U1366,D,1,1-1,H,1,A,10,30,0.1,0.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-1-A,329,U1366,D,1,1-1,H,1,A,40,40,0.4,0.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-1-A,329,U1366,D,1,1-1,H,1,A,90,130,0.9,1.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-1-A,329,U1366,D,1,1-1,H,1,A,140,150,1.4,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-2-A,329,U1366,D,1,1-2,H,2,A,0,30,1.5,1.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-2-A,329,U1366,D,1,1-2,H,2,A,40,50,1.9,2.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-2-A,329,U1366,D,1,1-2,H,2,A,90,115,2.4,2.65,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-2-A,329,U1366,D,1,1-2,H,2,A,140,150,2.9,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-3-A,329,U1366,D,1,1-3,H,3,A,0,30,3.0,3.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-3-A,329,U1366,D,1,1-3,H,3,A,40,80,3.4,3.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-3-A,329,U1366,D,1,1-3,H,3,A,90,130,3.9,4.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-3-A,329,U1366,D,1,1-3,H,3,A,140,150,4.4,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-4-A,329,U1366,D,1,1-4,H,4,A,0,30,4.5,4.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-4-A,329,U1366,D,1,1-4,H,4,A,40,80,4.9,5.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
