Label ID,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Prefix,Principal lithology,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File data
330-U1377A-1R-1-A,330,U1377,A,1,R,1,A,0,3,0,0.03,light gray,nannofossil foraminiferal,ooze [MMK88],with glass fragments,nannofossil foraminiferal ooze with glass fragments,,,,,soft,,
330-U1377A-2R-1-A,330,U1377,A,2,R,1,A,0,14,6.1,6.24,multicolor,foraminiferal,limestone [MMK88],,foraminiferal limestone,,coarse sand [U14W22],4,rounded (Default),lithified,,
