Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
366-U1496A-1F-1-A,0,15,0.0,0.15,I,,,,irregular,scoured,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,10YR 6/2 (light brownish gray),,,granule,8,cobble,10,,poor,,,,ultramafic rock,30.0,pebble,10,cobble,10,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,1,F,1,A,,,
366-U1496A-1F-1-A,15,55,0.15,0.55,II,,,,,gradational,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,10B 3/1 (dark bluish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1.0,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,1,F,1,A,,,
366-U1496A-1F-1-A,55,90,0.55,0.9,II,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10B 5/1 (bluish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1.0,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,1,F,1,A,,,
366-U1496A-1F-1-A,90,140,0.9,1.4,II,,,,,,,,,,,,,,,,,,"IW, MBIO",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,A,1,F,1,A,,,
366-U1496A-1F-2-A,0,15,1.4,1.55,II,,,,,gradational,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10B 5/1 (bluish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1.0,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,1,F,2,A,,,
366-U1496A-1F-2-A,15,90,1.55,2.3,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10GY 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1.0,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,1,F,2,A,,,
366-U1496A-1F-2-A,90,140,2.3,2.8,III,,,,,,,,,,,,,,,,,,"IW, MBIO",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,A,1,F,2,A,,,
366-U1496A-1F-CC-A,0,24,2.8,3.04,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10GY 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1.0,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,1,F,CC,A,,,
366-U1496A-2F-1-A,0,75,3.2,3.95,III,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10GY 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1.0,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,A,2,F,1,A,,,
366-U1496A-2F-1-A,75,125,3.95,4.45,III,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,A,2,F,1,A,,,
