Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Prefix,Principal Lithology,Classification,Suffix,Complete name,"Dominant grain size (Wentworth, 1922)",Clastic grain roundness,Lithification,Lithology comments,File Data,
334-U1381A-2R-CC-A,334,U1381,A,2,2-CC,R,CC,A,0,19,3.5,3.69,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,,,soupy,,,
334-U1381A-3R-1-A,334,U1381,A,3,3-1,R,1,A,0,71,12.4,13.11,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
334-U1381A-3R-CC-A,334,U1381,A,3,3-CC,R,CC,A,0,28,13.11,13.39,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
334-U1381A-4R-1-A,334,U1381,A,4,4-1,R,1,A,0,56,22.3,22.86,10Y 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
334-U1381A-4R-CC-A,334,U1381,A,4,4-CC,R,CC,A,0,17,22.86,23.03,10Y 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
334-U1381A-5R-1-A,334,U1381,A,5,5-1,R,1,A,0,150,31.9,33.4,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,
334-U1381A-5R-2-A,334,U1381,A,5,5-2,R,2,A,0,18,33.4,33.58,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,
334-U1381A-5R-2-A,334,U1381,A,5,5-2,R,2,A,18,20,33.58,33.6,2.5Y 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,consolidated,Yellowish brown tephra.,,
334-U1381A-5R-2-A,334,U1381,A,5,5-2,R,2,A,20,150,33.6,34.9,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,
334-U1381A-5R-3-A,334,U1381,A,5,5-3,R,3,A,0,114,34.9,36.04,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,
334-U1381A-5R-CC-A,334,U1381,A,5,5-CC,R,CC,A,0,5,36.04,36.09,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,
334-U1381A-6R-1-A,334,U1381,A,6,6-1,R,1,A,0,36,41.5,41.86,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of grey-green to black. Some patches of dark grass green coloration (31 - 32cm).,,
334-U1381A-6R-1-A,334,U1381,A,6,6-1,R,1,A,36,40,41.86,41.9,5YR 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-6R-1-A,334,U1381,A,6,6-1,R,1,A,40,150,41.9,43.0,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-2-A,334,U1381,A,6,6-2,R,2,A,0,150,43.0,44.5,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-3-A,334,U1381,A,6,6-3,R,3,A,0,10,44.5,44.6,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-3-A,334,U1381,A,6,6-3,R,3,A,10,74,44.6,45.24,5Y 3/2,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-3-A,334,U1381,A,6,6-3,R,3,A,74,150,45.24,46.0,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-4-A,334,U1381,A,6,6-4,R,4,A,0,150,46.0,47.5,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-5-A,334,U1381,A,6,6-5,R,5,A,0,26,47.5,47.76,2.5YR 5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,
334-U1381A-6R-5-A,334,U1381,A,6,6-5,R,5,A,26,150,47.76,49.0,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-6R-6-A,334,U1381,A,6,6-6,R,6,A,0,46,49.0,49.46,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
