Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
376-U1531B-1R-1-A,0,25,0,0.25,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,flow fabric,GLEY 1 2.5/N (black),Fresh plagioclase-pyroxene phyric glomero-porphyritic dacitic rock (pebbles) or lava. Fine-grained volcanic origin xenolith (up tp 2 mm) in the groundmass. Moderately vesiculated. Vesicles are elongated and oriented. Seawater-origin halite precipitated in the tiny cracks.,70,,,"Quenched glass lines on the outer surface and surface of vesicle, and small-sized (up to 2 mm) xenolith.",,0,y,Fresh glass.,plagioclase,8,1.5,1,euhedral,,some present in clots of plagioclase with pyroxene.,pyroxene,2,0.5,0.3,subhedral,,glomerocryst of plagioclase and pyroxene,,,,,,,,10,,,,moderately vesicular,9,4,sub-rounded,low (elongate),absent,20% of very elongated and oriented sub-rounded vesicles.,,,,,,,,,,,,,,,,,,,376,U1531,B,1,R,1,A,,,,
376-U1531B-1R-1-A,33,41,0.33,0.41,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,flow fabric,GLEY 1 2.5/N (black),Fresh plagioclase-pyroxene phyric glomero-porphyritic dacitic rock (pebbles) or lava. Fine-grained volcanic origin xenolith (up tp 2 mm) in the groundmass. Moderately vesiculated. Vesicles are elongated and oriented. Seawater-origin halite precipitated in the tiny cracks.,70,,,"Quenched glass lines on the outer surface and surface of vesicle, and small-sized (up to 2 mm) xenolith.",,0,y,Fresh glass.,plagioclase,8,1.5,1,euhedral,,some present in clots of plagioclase with pyroxene.,pyroxene,2,0.5,0.3,subhedral,,glomerocryst of plagioclase and pyroxene,,,,,,,,10,,,,moderately vesicular,9,4,sub-rounded,low (elongate),absent,20% of very elongated and oriented sub-rounded vesicles.,,,,,,,,,,,,,,,,,,,376,U1531,B,1,R,1,A,,,,
376-U1531B-1R-1-A,41,50,0.41,0.5,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,,GLEY 1 2.5/N (black),Fresh plagioclase-pyroxene phyric glomero-porphyritic dacitic rock (pebbles) or lava. Moderately vesiculated. Seawater-origin halite precipitated in the tiny cracks.,85,,,,,,,,plagioclase,6,1.5,1,euhedral,,some present in clots of plagioclase with pyroxene.,pyroxene,1,,,,,glomerocryst of plagioclase and pyroxene,,,,,,,,7,,,,moderately vesicular,2,0.1,rounded,high,absent,"8% of spherical, rounded vesicles.",,,,,,,,,,,,,,,,,,,376,U1531,B,1,R,1,A,,,,
376-U1531B-2R-1-A,0,17,8.7,8.87,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,,GLEY 1 2.5/N (black),"Fresh plagioclase-pyroxene phyric glomero-porphyritic dacitic rock (pebbles) or lava. Moderately vesiculated. Seawater-origin halite precipitated in tiny cracks. xenoliths present, volcanic in origin (contains plag phenocrysts and vesicles).",80,,,Perlitic fracturing.,,,y,about 10 % of the glass is altered (more on the surface of the piece),plagioclase,10,2,1,euhedral,,some present in clots of plagioclase with pyroxene.,pyroxene,2,1,0.5,subhedral,,glomerocryst of plagioclase and pyroxene,,,,,,,,12,,,,moderately vesicular,2,0.5,sub-rounded,low (irregular),absent,8% subrounded irregular vesicles,,,,,,,,,,,,,,,,,,,376,U1531,B,2,R,1,A,,,,
376-U1531B-2R-1-A,17,25,8.87,8.95,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,hypocrystalline,GLEY 1 2.5/N (black),slightly altered plagioclase-pyroxene bearing glomero-porphyritic dacitic rock (pebble) or lava. Moderately vesiculated. no tiny cracks!,90,,,,,,n,,plagioclase,2,2,0.5,subhedral,,some present in clots of plagioclase with pyroxene.,,,,,,,,,,,,,,,2,pyroxene,pyroxene,in glomerocrysts with plag,moderately vesicular,5,2,sub-rounded,low (elongate),present,8% of subrounded elongated vesicles lined with secondary minerals,,,,,,,,,,,,,,,,,,,376,U1531,B,2,R,1,A,,,,
376-U1531B-2R-1-A,25,42,8.95,9.12,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,flow fabric,GLEY 1 2.5/N (black),Fresh plagioclase-pyroxene phyric glomero-porphyritic dacitic rock (pebbles) or lava. Fine-grained volcanic origin xenolith (up tp 2 mm) in the groundmass. Moderately vesiculated. Vesicles are elongated and oriented. Seawater-origin halite precipitated in the tiny cracks.,75,,,Quenched glass with flow texture and glomerocrysts; small-sized (up to 4 mm) xenolith.,,0,y,Fresh glass.,plagioclase,4,1.5,0.5,euhedral,,some present in clots of plagioclase with pyroxene.,pyroxene,1,0.5,0.3,subhedral,,glomerocryst of plagioclase and pyroxene,,,,,,,,5,,,,highly vesicular,9,4,sub-rounded,low (elongate),absent,20% of very elongated and aligned sub-rounded vesicles.,,,,,,,,,,,,,,,,,,,376,U1531,B,2,R,1,A,,,,
376-U1531B-3R-2-A,96,108,20.23,20.35,,1,,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,flow fabric,GLEY 1 2.5/N (black),"Flow texture and large clast hosts very large pebble-sized xenolith of scarsely vesicular altered, plag phyric (lighter gray) dacite.",75,,,,,,y,,plagioclase,10,2,1,euhedral,,some present in clots of plagioclase with pyroxene.,pyroxene,2,1,0.5,subhedral,,glomerocryst of plagioclase and pyroxene,,,,,,,,12,,,,moderately vesicular,4,1,rounded,low (elongate),absent,,,,,,,,,,,,,,,,,,,,376,U1531,B,3,R,2,A,,,,
