Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology [%],Grain size maximum [mm],Lithification,Comment,File Data
329-U1368E-1H-1-A,329,U1368,E,1,1-1,H,1,A,0,150,0,1.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-1H-2-A,329,U1368,E,1,1-2,H,2,A,0,150,1.5,3,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-1H-3-A,329,U1368,E,1,1-3,H,3,A,0,150,3,4.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-1H-4-A,329,U1368,E,1,1-4,H,4,A,0,95,4.5,5.45,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-1H-CC-A,329,U1368,E,1,1-CC,H,CC,A,0,12,5.45,5.57,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-2H-1-A,329,U1368,E,2,2-1,H,1,A,0,150,5.6,7.1,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-2H-2-A,329,U1368,E,2,2-2,H,2,A,0,30,7.1,7.4,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-2H-2-A,329,U1368,E,2,2-2,H,2,A,30,60,7.4,7.7,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-2H-2-A,329,U1368,E,2,2-2,H,2,A,30,60,7.4,7.7,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-2H-2-A,329,U1368,E,2,2-2,H,2,A,60,150,7.7,8.6,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1368E-2H-3-A,329,U1368,E,2,2-3,H,3,A,0,122,8.6,9.82,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,
329-U1368E-2H-4-A,329,U1368,E,2,2-4,H,4,A,0,37,9.82,10.19,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,
329-U1368E-2H-4-A,329,U1368,E,2,2-4,H,4,A,37,58,10.19,10.4,,sand [S54],,sand,"Shepard, 1954",,,,,
329-U1368E-2H-CC-A,329,U1368,E,2,2-CC,H,CC,A,0,2,10.4,10.42,,sand [S54],,sand,"Shepard, 1954",,,,,
329-U1368E-2H-CC-A,329,U1368,E,2,2-CC,H,CC,A,2,11,10.42,10.51,,sand [S54],,sand,"Shepard, 1954",,,,completely disturbed,
