Label ID,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Prefix,Principal lithology,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic Grain roundness,Lithification,Lithology comments,File Data
330-U1373A-1R-1,330,U1373,A,1,R,1,,0,15,0,0.15,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,pebble [U14W22],5,angular[330],lithified,grain-supported,
330-U1373A-1R-1,330,U1373,A,1,R,1,,15,80,0.15,0.8,multicolor,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subangular[330],lithified,matrix-supported,
330-U1373A-1R-2,330,U1373,A,1,R,2,,0,149,0.8,2.29,multicolor,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subangular[330],lithified,matrix-supported,
330-U1373A-1R-3,330,U1373,A,1,R,3,,0,37,2.29,2.66,multicolor,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subangular[330],lithified,matrix-supported,
330-U1373A-1R-3,330,U1373,A,1,R,3,,37,76,2.66,3.05,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,cobble [U14W22],,angular[330],lithified,grain-supported,
330-U1373A-2R-1,330,U1373,A,2,R,1,,0,133,9.6,10.93,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-2R-2,330,U1373,A,2,R,2,,0,5,10.93,10.98,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-2R-2,330,U1373,A,2,R,2,,5,49,10.98,11.42,multicolor,basalt,breccia,,basalt breccia,,pebble [U14W22],,angular[330],lithified,"grain-supported, azoic",
330-U1373A-2R-2,330,U1373,A,2,R,2,,49,134,11.42,12.27,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-2R-3,330,U1373,A,2,R,3,,0,145,12.27,13.72,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-2R-4,330,U1373,A,2,R,4,,0,45,13.72,14.17,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-2R-4,330,U1373,A,2,R,4,,45,113,14.17,14.85,multicolor,basalt,breccia,,basalt breccia,,pebble [U14W22],,angular[330],lithified,"grain-supported, azoic",
330-U1373A-3R-1,330,U1373,A,3,R,1,,0,24,14.1,14.34,multicolor,basalt,breccia,,basalt breccia,,pebble [U14W22],,angular[330],lithified,"grain-supported, azoic",
