Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
362-U1480C-1H-1-A,0,150,0,1.5,IB,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 3/10Y (very dark greenish gray),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,silt,2,non-graded,moderate,,,"Pyrite spots disseminated through the core concentrated in layers at 36 to 40cm, 62 to 64 cm, 116 to 118 cm",,slight,3,Thalassinoides,,,,pyrite framboid,foraminifer,R,,,,,,,,,362,U1480,C,1,H,1,A,
362-U1480C-1H-2-A,0,87,1.5,2.37,IB,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 3/10Y (very dark greenish gray),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,silt,2,non-graded,moderate,,,"Pyrite spots disseminated through the core concentrated in layers at 36 to 40cm, 62 to 64 cm, 116 to 118 cm",,slight,3,Thalassinoides,,,,pyrite framboid,foraminifer,R,,,,,,,,,362,U1480,C,1,H,2,A,
362-U1480C-1H-2-A,87,150,2.37,3,IB,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unlithified,silt,2,,moderate,,,background sediment is still silty clay but alternate with numerous cm-thick silt layers that increase in frequency of occurrence down core.,,slight,3,Planolites,Thalassinoides,,,pyrite framboid,foraminifer,R,,,,,,,,,362,U1480,C,1,H,2,A,
362-U1480C-1H-3-A,0,18,3,3.18,IB,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unlithified,silt,2,,moderate,,,background sediment is still silty clay but alternate with numerous cm-thick silt layers that increase in frequency of occurrence down core.,,slight,3,Planolites,Thalassinoides,,,pyrite framboid,foraminifer,R,,,,,,,,,362,U1480,C,1,H,3,A,
362-U1480C-1H-3-A,18,150,3.18,4.5,IC,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,medium bed,unlithified,silt,2,non-graded,moderate,,,background sediment is still silty clay but alternate with numerous cm-thick silt layers that increase in frequency of occurrence down core.,,slight,3,Planolites,Thalassinoides,,,pyrite framboid,foraminifer,R,,,,,,,,,362,U1480,C,1,H,3,A,
362-U1480C-1H-4-A,0,100,4.5,5.5,IC,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 3/10Y (very dark greenish gray),irregular,gradational,irregular gradational,sub-horizontal,medium bed,unlithified,silt,2,non-graded,moderate,,,background sediment is still silty clay but alternate with numerous cm-thick silt layers that increase in frequency of occurrence down core.,,slight,3,Planolites,Thalassinoides,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,C,1,H,4,A,
362-U1480C-1H-4-A,100,150,5.5,6,IC,calcareous,clay,with clay,calcareous clay,calcareous clay with clay,clay with clay,,GLEY 1 7/10Y (light greenish grey),,,,,,unlithified,clay,1,non-graded,well,,,,planar lamination,moderate,4,Thalassinoides,Planolites,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,C,1,H,4,A,
362-U1480C-1H-5-A,0,141,6,7.41,IC,calcareous,clay,with clay,calcareous clay,calcareous clay with clay,clay with clay,,GLEY 1 7/10Y (light greenish grey),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,clay,1,non-graded,well,,,,structureless,moderate,4,Thalassinoides,Planolites,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,C,1,H,5,A,
362-U1480C-1H-5-A,141,150,7.41,7.5,IC,,clay,with carbonate allochems,clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 5/10Y (greenish gray),,,,,very thick bed,unlithified,silt,2,non-graded,moderate,,,,structureless,moderate,4,Thalassinoides,Chondrites,,,,foraminifer,,,,,,,,,,362,U1480,C,1,H,5,A,
362-U1480C-1H-6-A,0,67,7.5,8.17,IC,,clay,with carbonate allochems,clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 5/10Y (greenish gray),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,silt,2,non-graded,moderate,,,,structureless,moderate,4,Thalassinoides,Chondrites,,,,foraminifer,,,,,,,,,,362,U1480,C,1,H,6,A,
362-U1480C-1H-6-A,67,112,8.17,8.62,IC,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,,7.5yr 5/1 (gray),planar,sharp,planar sharp,sub-horizontal,thick bed,unlithified,coarse sand,6,normal grading,well,silt,coarse sand,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,C,1,H,6,A,
362-U1480C-1H-6-A,112,130,8.62,8.8,IC,,clay,with carbonate allochems,clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 5/10Y (greenish gray),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,silt,2,non-graded,moderate,,,,,moderate,4,Thalassinoides,chondrites,,,,foraminifer,R,,,,,,,,,362,U1480,C,1,H,6,A,
362-U1480C-1H-7-A,0,59,8.8,9.39,IC,,clay,with carbonate allochems,clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 5/10Y (greenish gray),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,silt,2,non-graded,moderate,,,,,moderate,4,Thalassinoides,chondrites,,,,foraminifer,R,,,,,,,,,362,U1480,C,1,H,7,A,
362-U1480C-1H-CC-A,0,24,9.39,9.63,IC,,clay,with carbonate allochems,clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 5/10Y (greenish gray),irregular,gradational,irregular gradational,sub-horizontal,very thick bed,unlithified,silt,2,non-graded,moderate,,,,,moderate,4,Thalassinoides,chondrites,,,,foraminifer,R,,,,,,,,,362,U1480,C,1,H,CC,A,
