Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1405B-1H-1-A,342,U1405,B,1,1-1,H,1,A,0,150,0,1.5,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 6/3 (pale brown),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1405B-1H-2-A,342,U1405,B,1,1-2,H,2,A,0,75,1.5,2.25,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 6/3 (pale brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1405B-1H-2-A,342,U1405,B,1,1-2,H,2,A,75,150,2.25,3,silty [Leg339],clay [Leg339],,silty  clay ,,,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1405B-1H-3-A,342,U1405,B,1,1-3,H,3,A,0,150,3,4.5,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 6/2 (light brownish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1405B-1H-3-A,342,U1405,B,1,1-3,H,3,A,112,115,4.12,4.15,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405B-1H-4-A,342,U1405,B,1,1-4,H,4,A,0,150,4.5,6,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 6/2 (light brownish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1405B-1H-4-A,342,U1405,B,1,1-4,H,4,A,80,100,5.3,5.5,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405B-1H-5-A,342,U1405,B,1,1-5,H,5,A,0,150,6,7.5,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/3 (pale brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1405B-1H-5-A,342,U1405,B,1,1-5,H,5,A,16,22,6.16,6.22,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405B-1H-6-A,342,U1405,B,1,1-6,H,6,A,0,150,7.5,9,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/3 (pale brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
