Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Principal name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Principal name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,0,31,0,0.31,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,0,0,0,0,0,90,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,31,35,0.31,0.35,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,0,0,0,0,0,90,,well [BP01],absent [alteration],0,soupy,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,35,77,0.35,0.77,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,0,0,0,0,0,90,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,77,86,0.77,0.86,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,5,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,70,0,10,0,20,0,0,0,0,0,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,86,87,0.86,0.87,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,5,0,10,0,80,0,0,5,0,0,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,87,92,0.87,0.92,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,30,0,25,0,40,0,0,5,0,0,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,92,97,0.92,0.97,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,30,0,25,0,40,0,0,5,0,0,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,97,144,0.97,1.44,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,10,99,granule [T07],0,,0,,0,,0,,0,,1,cobble [T07],,single large hemipelagic mud clast,rounded,10,0,10,10,65,0,0,0,5,0,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,144,144.5,1.44,1.445,minimal [drilling disturbance],1,ash [F&S84],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,20,0,10,0,60,0,0,0,0,10,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1398A-1H-1-A,340,U1398,A,1,1-1,H,1,A,144.5,150,1.445,1.5,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,10,65,0,0,0,5,0,,moderate [BP01],absent [alteration],0,,,,,,,,,
