Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
353-U1443A-1H-1-A,0,42,0,0.42,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,brown,10YR 6/4 (light yellowish brown),gradational,,,,non-graded,,,,mottling,,,,One visible green bleb at 11 cm; mottling below 30 cm,,,,353,U1443,A,1,H,1,A,,,,
353-U1443A-1H-1-A,42,85,0.42,0.85,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 5/2 (grayish brown),,,,,non-graded,,,,mottling,,,,Mottling at 62 cm and more below 68 cm,,,,353,U1443,A,1,H,1,A,,,,
353-U1443A-1H-2-A,0,5,0.95,1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 5/2 (grayish brown),planar,sharp,horizontal,,non-graded,,,,mottling,,,,,,,,353,U1443,A,1,H,2,A,,,,
353-U1443A-1H-2-A,5,52,1,1.47,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 5/10Y (greenish gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,Green color band (shell fragments according to smear slides) at 13 cm; 27-37 cm mottling with light gray color; crack at 37 cm,,,,353,U1443,A,1,H,2,A,,,,
353-U1443A-1H-2-A,53,68,1.48,1.63,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),,,,,non-graded,vitric,,,,,,,Toba? ~75 ka?,,,,353,U1443,A,1,H,2,A,,,,
353-U1443A-1H-CC-A,0,9,1.63,1.72,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),irregular,scoured,inclined,,non-graded,vitric,,,,,,,Toba? Maybe? Core Catcher!,,,,353,U1443,A,1,H,CC,A,,,,
353-U1443A-1H-CC-A,9,11,1.72,1.74,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 6/5GY (greenish gray),,,,,non-graded,,,,mottling,,,,Mottling at boundary; darkish green bleb,,,,353,U1443,A,1,H,CC,A,,,,
353-U1443A-2H-1-A,0,16,1.8,1.96,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,horizontal,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,1,A,,,,
353-U1443A-2H-1-A,16,96.5,1.96,2.765,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,"4 greenish color bands from 87 to 96.5 cm, 0.5 to 1 cm thick (shell fragments)",,,,353,U1443,A,2,H,1,A,,,,
353-U1443A-2H-1-A,96.5,125,2.765,3.05,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),,,,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,1,A,,,,
353-U1443A-2H-2-A,0,1,3.05,3.06,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,horizontal,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,2,A,,,,
353-U1443A-2H-2-A,1,7.5,3.06,3.125,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,white,10YR 8/1 (white),,,horizontal,,non-graded,vitric,,,,,,,Band of 2 cm thick with much darker sediment (more opaque minerals?) Bottom contact characterized by a 1-2 mm thick black lamina.,,,,353,U1443,A,2,H,2,A,,,,
353-U1443A-2H-2-A,7.5,80,3.125,3.85,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),gradational,gradational,,,non-graded,,,,mottling,,,,Including upper layer at 9-10 cm,,,,353,U1443,A,2,H,2,A,,,,
353-U1443A-2H-2-A,80,145,3.85,4.5,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),,,,,non-graded,,,,,,,,"Some little color changes within this interval. At 125 cm, sharp change in color (from GLEY 1 7N to to 5Y 7/1) without any big changes in sediment lithology.",,,,353,U1443,A,2,H,2,A,,,,
353-U1443A-2H-3-A,0,39,4.55,4.94,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,3,A,,,,
353-U1443A-2H-3-A,39,105,4.94,5.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,2 greenish color bands 1 to 1.5 cm thick (shell fragments) : from 85 to 86.5 and from 88 to 89 cm.,,,,353,U1443,A,2,H,3,A,,,,
353-U1443A-2H-3-A,105,145,5.6,6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,3,A,,,,
353-U1443A-2H-4-A,0,23,6.05,6.28,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,4,A,,,,
353-U1443A-2H-4-A,23,74,6.28,6.79,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,4,A,,,,
353-U1443A-2H-4-A,74,114,6.79,7.19,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,4,A,,,,
353-U1443A-2H-4-A,114,122.5,7.19,7.275,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 5/1 (gray),planar,sharp,horizontal,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,4,A,,,,
353-U1443A-2H-4-A,122.5,145,7.275,7.5,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,4,A,,,,
353-U1443A-2H-5-A,0,39.5,7.55,7.945,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,5,A,,,,
353-U1443A-2H-5-A,39.5,41,7.945,7.96,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 5/1 (gray),planar,sharp,horizontal,,non-graded,vitric,,,,,,,,,,,353,U1443,A,2,H,5,A,,,,
353-U1443A-2H-5-A,41,100,7.96,8.55,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,becomes gradationally darker toward the bottom,,,,353,U1443,A,2,H,5,A,,,,
353-U1443A-2H-5-A,100,145,8.55,9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,non-graded,,,,mottling,,,,2 greenish color bands mm to cm thick (shell fragments) : at 112 and from 118 to 119 cm,,,,353,U1443,A,2,H,5,A,,,,
353-U1443A-2H-6-A,0,35.5,9.05,9.405,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),gradational,,,,non-graded,,,,mottling,,,,"8 greenish color bands mm to cm thick : at 8.5, 14, 15.5, from 18 to 19, 20.5, 21, 22.5 and 24.5 cm (shell fragments according to smear slides)",,,,353,U1443,A,2,H,6,A,,,,
353-U1443A-2H-6-A,35.5,82,9.405,9.87,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,6,A,,,,
353-U1443A-2H-6-A,82,105,9.87,10.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,6,A,,,,
353-U1443A-2H-6-A,105,124.5,10.1,10.295,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,sharp,horizontal,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,6,A,,,,
353-U1443A-2H-6-A,124.5,140,10.295,10.45,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,6,A,,,,
353-U1443A-2H-6-A,140,145,10.45,10.5,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),planar,sharp,horizontal,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,6,A,,,,
353-U1443A-2H-7-A,0,57,10.55,11.12,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,2,H,7,A,,,,
353-U1443A-2H-7-A,57,84,11.12,11.39,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,7,A,,,,
353-U1443A-2H-CC-A,0,8,11.39,11.47,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,,,,,,,,,353,U1443,A,2,H,CC,A,,,,
353-U1443A-3H-1-A,0,17,11.3,11.47,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,1,A,,,,
353-U1443A-3H-1-A,17,82,11.47,12.12,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,1,A,,,,
