Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1459C-11-1-A,0,2,0.0,0.02,unlithified [Leg194],,grainstone [E&K72; D62],4,with quartz,grainstone with quartz,neritic,light gray,foraminifera (benthic),,,,absent [B06],0,sharp,horizontal,"Unlithified, light gray, fine grained, very well sorted, sand contains glauconite, benthic foraminifera (benthic); note that this drilled interval (11) represents  fall-in from the upper ~200 m of the borehole and should not be considered representative of the stratigraphy",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,2,5,0.02,0.05,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,cream,bryozoa,,,,absent [B06],0,sharp,horizontal,"Unlithified, cream to light gray, gravel containing echinoderm tests, bryozoans, hematite rich plates",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,2,5,0.02,0.05,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,5,41,0.05,0.41,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light gray,bivalve,,,,absent [B06],0,sharp,sub-horizontal,"Unlithified, cream to light gray, gradational from base of core up: gravel to fine grained. The fine grained sand is very well sorted and contains glauconite, benthic forams, bivalves, bryozoans, few hematite stained grains,",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,5,41,0.05,0.41,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,5,41,0.05,0.41,,,,,,,,,foraminifera (benthic),,,,,,,,,,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,41,45,0.41,0.45,unlithified [Leg194],,grainstone [E&K72; D62],4,with quartz,grainstone with quartz,neritic,light gray,foraminifera,,,,absent [B06],0,gradational,sub-horizontal,"Unlithified, light gray, well sorted, fine grained sand containing forams, iron stained particles, and other unidentified grains and/or fossils",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,45,51,0.45,0.51,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light gray,bivalve,,,,absent [B06],0,gradational,,"Unlithified, cream to light gray, gradational unit: from base upwards coarser gravel to fine gravel. The bed contains forams, bivalve fragments, hematite coated grains.",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,45,51,0.45,0.51,,,,,,,,,foraminifera,,,,,,,,,,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,51,53,0.51,0.53,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,cream,,,,,absent [B06],0,,,"Unlithified, cream, wackestone",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,53,54,0.53,0.54,unlithified [Leg194],,grainstone [E&K72; D62],4,with quartz,grainstone with quartz,neritic,light gray,foraminifera,,,,absent [B06],0,,,"Unlithified, light gray, fine grained sand, very well sorted containing, hematite plates, forams and other unidentified grains and/or fossils",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,54,60,0.54,0.6,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,cream,,,,,absent [B06],0,sharp,horizontal,"Unlithified, cream mudstone",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,60,73,0.6,0.73,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,beige,,,,,absent [B06],0,sharp,horizontal,"Unlithified, beige, wackestone",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,73,150,0.73,1.5,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,beige,bivalve,,,,absent [B06],0,,,"Unlithified, beige, gravel size grainstone. It contains bivalves, gastropod fragments, bryozoans. The bed appears gradational from the base up: coarser to finer. But it could also be an artifact of coring.",,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,73,150,0.73,1.5,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1459,C,11,,1,A
356-U1459C-11-1-A,73,150,0.73,1.5,,,,,,,,,gastropod,,,,,,,,,,,,356,U1459,C,11,,1,A
356-U1459C-11-2-A,0,115,1.5,2.65,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,beige,bivalve,,,,absent [B06],0,,,"From the base up there is a slight gradation to finer material. It contains bivalves, gastropods, bryozoans, and unidentified grains and/or fossils",,,,356,U1459,C,11,,2,A
356-U1459C-11-2-A,0,115,1.5,2.65,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1459,C,11,,2,A
356-U1459C-11-2-A,0,115,1.5,2.65,,,,,,,,,gastropod,,,,,,,,,,,,356,U1459,C,11,,2,A
356-U1459C-2R-1-A,0,52,205.8,206.32,lithified [B84],dolomitic,packstone [E&K72; D62],3,with glauconite [2014],dolomitic packstone with glauconite,neritic,light greenish gray,,,,,absent [B06],0,,,"Lithified, light greenish gray, dolomitic packstone with glauconite",,,,356,U1459,C,2,R,1,A
356-U1459C-2R-CC-A,0,14,206.32,206.46,lithified [B84],dolomitic,packstone [E&K72; D62],3,with glauconite [2014],dolomitic packstone with glauconite,neritic,light greenish gray,,,,,absent [B06],0,,,"Lithified, light greenish gray, glauconite rich, dolomitic packstone",,,,356,U1459,C,2,R,CC,A
356-U1459C-3R-1-A,0,34,210.3,210.64,lithified [B84],dolomitic,packstone [E&K72; D62],3,,dolomitic packstone,neritic,light grayish green,,,,,absent [B06],0,,,"Lithified, light grayish green dolomitic packstone",,,,356,U1459,C,3,R,1,A
356-U1459C-3R-CC-A,0,7,210.64,210.71,lithified [B84],dolomitic,packstone [E&K72; D62],3,,dolomitic packstone,neritic,light grayish green,,,,,absent [B06],0,,,"Lithified, light grayish green dolomitic packstone",,,,356,U1459,C,3,R,CC,A
356-U1459C-4R-1-A,0,88,214.8,215.68,lithified [B84],dolomitic,packstone [E&K72; D62],3,with sand [2014],dolomitic packstone with sand,hemipelagic,dark greenish gray,,wavy lamination,,,absent [B06],0,,,"Lithified, dark greenish gray dolomitic packstone with sand. Wavy laminations and possible intraclasts present. Hemipelagic. Core was fragmented during drilling and recovery.",,,,356,U1459,C,4,R,1,A
356-U1459C-4R-1-A,0,88,214.8,215.68,,,,,,,,,,intraclasts,,,,,,,,,,,356,U1459,C,4,R,1,A
356-U1459C-4R-CC-A,0,14,215.68,215.82,lithified [B84],,dolostone [USGS],,with sand [2014],dolostone with sand,hemipelagic,dark greenish gray,,intraclasts,,,absent [B06],0,,,"Lithified, dark greenish gray dolostone with sand. Wavy laminations and possible intraclasts are present. Hemipelagic. Fragmented during drilling and core processing.",,,,356,U1459,C,4,R,CC,A
356-U1459C-4R-CC-A,0,14,215.68,215.82,,,,,,,,,,wavy lamination,,,,,,,,,,,356,U1459,C,4,R,CC,A
356-U1459C-5R,13,47,219.73,220.07,lithified [B84],,packstone [E&K72; D62],3,,packstone,hemipelagic,light greenish gray,,wavy lamination,,,,,,,"Lithified, light greenish gray, packstone, with apparent wavy lamination. Hemipelagic.",,,,356,U1459,C,5,R,,
356-U1459C-5R-1-A,0,13,219.6,219.73,lithified [B84],dolomitic,packstone [E&K72; D62],3,with quartz,dolomitic packstone with quartz,hemipelagic,light grayish green,,wavy lamination,,,absent [B06],0,,,"Lithified, light grayish green, dolomitic packstone wirh quartz, with apparent wavy lamination. Hemipelagic.",,,,356,U1459,C,5,R,1,A
356-U1459C-6R-CC-A,0,5,224.4,224.45,lithified [B84],dolomitic,packstone [E&K72; D62],3,with glauconite [2014],dolomitic packstone with glauconite,hemipelagic,light greenish gray,,,,,absent [B06],0,,,"Lithified, light greenish gray, sand size, dolomitic packstone with dolomite. Hemipelagic. Only fragments were recovered in the core catcher.",,,,356,U1459,C,6,R,CC,A
356-U1459C-7R-CC-A,0,7,229.2,229.27,lithified [B84],dolomitic,packstone [E&K72; D62],3,with quartz,dolomitic packstone with quartz,hemipelagic,creamy gray,,,,,absent [B06],0,,,"Lithified, creamy gray dolomitic packstone with quartz.",,,,356,U1459,C,7,R,CC,A
