Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1490C-1H-1-A,0,22,0,0.22,clay-rich [X363],biogenic ooze [Leg339],clay-rich biogenic ooze,,7.5YR 7/3 (pink),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-1H-1-A,22,83,0.22,0.83,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,7.5YR 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-1H-1-A,83,106,0.83,1.06,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-1H-2-A,0,104,1.06,2.1,radiolarian-bearing ash-rich [X363],foraminifer-nannofossil ooze [X363],radiolarian-bearing ash-rich foraminifer-nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,clay-rich,,,,,,,,,,,,
363-U1490C-1H-2-A,104,107,2.1,2.13,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-1H-2-A,107,126,2.13,2.32,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-1H-CC-A,0,18,2.32,2.5,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-1-A,0,150,2.5,4,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,7.5YR 8/3 (pink),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-2-A,0,68,4,4.68,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,7.5YR 8/3 (pink),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-2-A,68,84,4.68,4.84,,foraminiferal sand [X363],foraminiferal sand,,7.5YR 8/2 (pinkish white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-2-A,84,150,4.84,5.5,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,7.5YR 8/3 (pink),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-3-A,0,150,5.5,7,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5YR 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-4-A,0,150,7,8.5,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-5-A,0,150,8.5,10,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-6-A,0,150,10,11.5,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-7-A,0,79,11.5,12.29,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-2H-CC-A,0,21,12.29,12.5,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
