Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
369-U1513E-2R-1-A,0,27,685.2,685.47,,,,,volcaniclastic,siltstone [USGS],,volcaniclastic siltstone,,,GLEY 1 4/N (dark gray),massive [BJ84],,,,,silt [W22_1],2,,,,,A fault occurs at the interval of 4-15 cm,irregular boundary or contact,curved,sharp,,,,,,,volcaniclastic siltstone,siltstone,,,,369,U1513,E,2,R,1,A,,,,
369-U1513E-2R-1-A,27,47,685.47,685.67,,,,,volcaniclastic,siltstone [USGS],,volcaniclastic siltstone,,,GLEY 1 3/N (very dark gray),,parallel lamination,,,,silt [W22_1],2,,,,,,igneous boundary or contact,,sharp,,,,,,,volcaniclastic siltstone,siltstone,,,,369,U1513,E,2,R,1,A,,,,
369-U1513E-2R-1-A,72,107,685.92,686.27,,,,,volcaniclastic,siltstone [USGS],,volcaniclastic siltstone,,,GLEY 1 4/N (dark gray),,parallel lamination,,,,silt [W22_1],2,,,,,,igneous boundary or contact,,sharp,,,,,,,volcaniclastic siltstone,siltstone,,,,369,U1513,E,2,R,1,A,,,,
369-U1513E-2R-2-A,0,68,686.39,687.07,,,,,volcaniclastic,siltstone [USGS],,volcaniclastic siltstone,,,GLEY 1 4/N (dark gray),,parallel lamination,,,,silt [W22_1],2,,,,,,igneous boundary or contact,,sharp,,,,,,,volcaniclastic siltstone,siltstone,,,,369,U1513,E,2,R,2,A,,,,
369-U1513E-2R-3-A,0,100,687.07,688.07,,,,,volcaniclastic,sandstone [USGS],with clasts,volcaniclastic sandstone with clasts,,,GLEY 1 4/N (dark gray),,,normal grading,,,medium sand [W22_2],5,,,,,,igneous boundary or contact,,sharp,,10,granule [W22_2],,,,volcaniclastic sandstone,sandstone with clasts,,,,369,U1513,E,2,R,3,A,,,,
369-U1513E-2R-4-A,0,110,688.07,689.17,,,,,,basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,2,R,4,A,,,,
369-U1513E-2R-5-A,0,111,689.17,690.28,,,,,,basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,2,R,5,A,,,,
369-U1513E-2R-6-A,0,116,690.28,691.44,,,,,,basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,2,R,6,A,,,,
369-U1513E-2R-6-A,116,121,691.44,691.49,,,,,,basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,2,R,6,A,,,,
369-U1513E-2R-6-A,121,131,691.49,691.61,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,,structureless,,granule [W22_2],8,,,,,,,,,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,2,R,6,A,,,,
369-U1513E-2R-7-A,0,131,691.61,692.92,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,,structureless,,granule [W22_2],8,,,,,,,,,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,2,R,7,A,,,,
369-U1513E-2R-8-A,0,50,692.92,693.42,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,,structureless,,granule [W22_2],8,,,,,,igneous boundary or contact,irregular,sharp,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,2,R,8,A,,,,
369-U1513E-2R-8-A,34,52,693.26,693.44,,,,,volcaniclastic,breccia,chilled contact between breccia and basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,2,R,8,A,,,,
369-U1513E-2R-8-A,52,144,693.44,694.36,,,,,,basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,2,R,8,A,,,,
369-U1513E-3R-1-A,0,90,694.8,695.7,,,,,,basalt,continuous from Core 2R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,1,A,,,,
369-U1513E-3R-1-A,90,92,695.7,695.72,,,,,,basalt,interfingering intrusive contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,1,A,,,,
369-U1513E-3R-1-A,92,127,695.72,696.07,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/3 (dark reddish brown),massive [BJ84],,,structureless,,granule [W22_2],8,,,,,,igneous boundary or contact,irregular,sharp,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,3,R,1,A,,,,
369-U1513E-3R-2-A,0,137,696.07,697.44,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/3 (dark reddish brown),massive [BJ84],,normal grading,,,granule [W22_2],8,,,,,Three intervals with normal grading and gradational bases are present.,igneous boundary or contact,irregular,sharp,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,3,R,2,A,,,,
369-U1513E-3R-3-A,0,14,697.44,697.58,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/3 (dark reddish brown),massive [BJ84],,normal grading,,,granule [W22_2],8,,,,,Three intervals with normal grading and gradational bases are present.,igneous boundary or contact,irregular,sharp,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,3,R,3,A,,,,
369-U1513E-3R-3-A,14,76,697.58,698.2,,,,,,basalt [IUGS-S78&79],agglomerate,basalt agglomerate,erosional contact with breccia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,3,A,,,,
369-U1513E-3R-3-A,76,84,698.2,698.28,,,,,,basalt [IUGS-S78&79],,basalt,chilled margin? contact with agglomerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,3,A,,,,
369-U1513E-3R-4-A,0,39,698.28,698.67,,,,,,basalt [IUGS-S78&79],,basalt,hyaloclastite interval with next flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,4,A,,,,
369-U1513E-3R-4-A,39,121,698.67,699.49,,,,,,basalt [IUGS-S78&79],,basalt,"curved, pillow margin? with hyaloclastite interval with the next flow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,4,A,,,,
369-U1513E-3R-5-A,0,75,699.49,700.24,,,,,,basalt [IUGS-S78&79],,basalt,pillow structure at 29-60 cm interval?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,5,A,,,,
369-U1513E-3R-5-A,75,81,700.24,700.3,,,,,,basalt [IUGS-S78&79],,basalt,hyaloclastite interval with next flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,5,A,,,,
369-U1513E-3R-5-A,81,105,700.3,700.54,,,,,,dolerite,,dolerite,"sill with a broad baked contact with breccia from section 7, 93 cm to section 8, 21 cm; flow banding and alteration zoning from green in Section 7, 46-80 cm interval to brown with hematite veins outward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,5,A,,,,
369-U1513E-3R-6-A,0,125,700.54,701.79,,,,,,dolerite,,dolerite,"sill with a broad baked contact with breccia from section 7, 93 cm to section 8, 21 cm; flow banding and alteration zoning from green in Section 7, 46-80 cm interval to brown with hematite veins outward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,6,A,,,,
369-U1513E-3R-7-A,0,104,701.79,702.83,,,,,,dolerite,,dolerite,"sill with a broad baked contact with breccia from section 7, 93 cm to section 8, 21 cm; flow banding and alteration zoning from green in Section 7, 46-80 cm interval to brown with hematite veins outward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,3,R,7,A,,,,
369-U1513E-3R-7-A,104,144,702.83,703.23,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/2 (dusky red),massive [BJ84],,,structureless,,granule [W22_2],8,,,,,,,,,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,3,R,7,A,,,,
369-U1513E-3R-8-A,0,19,703.23,703.42,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/2 (dusky red),massive [BJ84],,,structureless,,granule [W22_2],8,,,,,,igneous boundary or contact,irregular,sharp,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,3,R,8,A,,,,
369-U1513E-7R-1-A,5,82,745.25,746.02,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,normal grading,,,granule [W22_2],8,,,,,,,,,,20,granule [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,7,R,1,A,,,,
369-U1513E-7R-2-A,0,134,746.02,747.36,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,normal grading,,,granule [W22_2],8,,,,,,,,,,20,pebble [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,7,R,2,A,,,,
369-U1513E-7R-3-A,0,116,747.36,748.52,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,normal grading,,,granule [W22_2],8,,,,,,,,,,20,pebble [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,7,R,3,A,,,,
369-U1513E-7R-4-A,0,78,748.52,749.3,,,,,volcaniclastic,breccia,,volcaniclastic breccia,,,2.5YR 3/1 (dark reddish gray),massive [BJ84],,normal grading,,,granule [W22_2],8,,,,,Several mini-faults are present at 57-60 cm.,igneous boundary or contact,irregular,sharp,,40,pebble [W22_2],,,,volcaniclastic breccia,breccia,,,,369,U1513,E,7,R,4,A,,,,
369-U1513E-7R-5-A,0,100,749.58,750.58,,,,,,basalt [IUGS-S78&79],,basalt,"brown porphyritic basalt with flow banding and trachytic texture, consisting of several thin flows that are superimposed on top of another; chilled margin boundary with underlying flow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,7,R,5,A,,,,
369-U1513E-7R-6-A,0,110,750.58,751.68,,,,,,basalt [IUGS-S78&79],,basalt,"brown porphyritic basalt with flow banding and trachytic texture, consisting of several thin flows that are superimposed on top of another; chilled margin boundary with underlying flow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,7,R,6,A,,,,
369-U1513E-7R-7-A,0,69,751.68,752.37,,,,,,basalt [IUGS-S78&79],,basalt,"brown porphyritic basalt with flow banding and trachytic texture, consisting of several thin flows that are superimposed on top of another; chilled margin boundary with underlying flow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,7,R,7,A,,,,
369-U1513E-7R-7-A,69,150,752.37,753.18,,,,,,basalt [IUGS-S78&79],,basalt,"brown porphyritic basalt with flow banding and trachytic texture, grading into highly altered, red-brown massive flow with some agglutinated clasts of basalt; faulted contact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,7,R,7,A,,,,
369-U1513E-7R-8-A,0,23,753.18,753.41,,,,,,basalt [IUGS-S78&79],,basalt,"brown porphyritic basalt with flow banding and trachytic texture, grading into highly altered, red-brown massive flow with some agglutinated clasts of basalt; faulted contact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,7,R,8,A,,,,
369-U1513E-7R-8-A,23,141,753.41,754.59,,,,,,basalt [IUGS-S78&79],agglomerate,basalt agglomerate,"highly altered, red-brown massive flow with some agglutinated basalt clasts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,E,7,R,8,A,,,,
