Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1482D-1H-1-A,0,12,0,0.12,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,7.5YR 6/3 (light brown),none [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-1H-1-A,12,63,0.12,0.63,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-1H-1-A,63,150,0.63,1.5,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 8/1 (light greenish gray),slight [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-1H-2-A,0,95,1.5,2.45,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 8/1 (light greenish gray),slight [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-1H-2-A,95,150,2.45,3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-1H-3-A,0,31,3,3.31,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 8/1 (light greenish gray),slight [DB86],,petropod,,,,contact between colors at an angle,,,,,,,,,,,,
363-U1482D-1H-3-A,31,122,3.31,4.22,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-1H-CC-A,0,15,4.22,4.37,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,petropod,,,,,,,,,,,,,,,,
363-U1482D-3H-1-A,0,69,137,137.69,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5G 6/1 (greenish gray),moderate [DB86],,,,,,sulfide patches,,,,,,,,,,,,
363-U1482D-3H-1-A,69,131,137.69,138.31,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,sulfide patches,,,,,,,,,,,,
363-U1482D-3H-1-A,131,150,138.31,138.5,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5G 6/1 (greenish gray),moderate [DB86],,,,,,sulfide patches,,,,,,,,,,,,
363-U1482D-3H-2-A,0,11,138.5,138.61,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5G 6/1 (greenish gray),moderate [DB86],,,,,,sulfide patches,,,,,,,,,,,,
363-U1482D-3H-2-A,11,60,138.61,139.1,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,sulfide patches,,,,,,,,,,,,
363-U1482D-3H-2-A,60,97,139.1,139.47,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5G 6/1 (greenish gray),moderate [DB86],,,,,,sulfide concretion (1 cm-diameter),,,,,,,,,,,,
