Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1523A-1H-1-A,0.0,45,0.0,0.45,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),,2.5Y 6/4 (light yellowish brown),,,,,,,,,,,,,,,374,U1523,A,1,H,1,A
374-U1523A-1H-1-A,20.0,40,0.2,0.4,,,,,,,heavy [DB86],3.0,,,,,,,,,,,,,374,U1523,A,1,H,1,A
374-U1523A-1H-1-A,45.0,50,0.45,0.5,foraminifer bearing,sand,,foraminifer bearing sand,,GLEY 1 5/10GY (greenish gray),,,,,,,foraminifer,,gradational boundary or contact,bioturbated,greenish gray mud to gray foram-sand (50-70),,,,374,U1523,A,1,H,1,A
374-U1523A-1H-1-A,50.0,70,0.5,0.7,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),,GLEY 1 5/N (gray),,,,,,,foraminifer,,,,,,,,374,U1523,A,1,H,1,A
374-U1523A-1H-1-A,70.0,71,0.7,0.71,,,,,,,,,,,,,,lonestone,,,,,,,374,U1523,A,1,H,1,A
374-U1523A-1H-1-A,70.0,150,0.7,1.5,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1523,A,1,H,1,A
374-U1523A-1H-1-A,106.0,106,1.06,1.06,,,,,,,,,,,,,,,gradational boundary or contact,,,,,,374,U1523,A,1,H,1,A
374-U1523A-1H-2-A,0.0,26,1.5,1.76,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),lamination,10YR 4/2 (dark grayish brown),,,,,,,,,,,Decimeter scale gray bround to greenish gray interbedded sandy muds to muddy sands with interval of clast-rich sandy diamict at 26-35 cm.,,,,374,U1523,A,1,H,2,A
374-U1523A-1H-2-A,0.0,150,1.5,3.0,,,,,,,heavy [DB86],3.0,,,,,,,,,,,,,374,U1523,A,1,H,2,A
374-U1523A-1H-2-A,26.0,35,1.76,1.85,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1523,A,1,H,2,A
