Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
374-U1525A-1H-1-A,0,50,0,0.5,,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,sandy mud(stone) to muddy sand(stone) with dispersed clasts,,10YR 6/6 (brownish yellow),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,,374,U1525,A,1,H,1,A,
374-U1525A-1H-1-A,50,96,0.5,0.96,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,2.5Y 6/3 (light yellowish brown),slight [DB86],1,,,,,,,gradational boundary or contact,,,,,,374,U1525,A,1,H,1,A,
374-U1525A-1H-1-A,96,150,0.96,1.5,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,,,,,,,,374,U1525,A,1,H,1,A,
374-U1525A-1H-2-A,0,150,1.5,3,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,lonestone,,,Lonestone at 70.,,,,374,U1525,A,1,H,2,A,
374-U1525A-1H-3-A,0,145,3,4.45,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,lonestone,,,Lonestone at 37 and 115 cm.,,,,374,U1525,A,1,H,3,A,
374-U1525A-1H-4-A,0,150,4.5,6,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,lonestone,,,Lonestone at 118-119 cm.,,,,374,U1525,A,1,H,4,A,
374-U1525A-1H-5-A,0,150,6,7.5,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,lonestone,,,Lonestone at 46 cm.,,,,374,U1525,A,1,H,5,A,
374-U1525A-1H-6-A,0,98,7.5,8.48,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,lonestone,,,"Lonestone at 2-4, 14-16, and 32-34 cm.",,,,374,U1525,A,1,H,6,A,
374-U1525A-1H-CC-A,0,9,8.48,8.57,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),slight [DB86],1,,,,,,,,,,,,,374,U1525,A,1,H,CC,A,
374-U1525A-2H-1-A,0,150,8.6,10.1,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 33 and 37 cm.,,,,374,U1525,A,2,H,1,A,
374-U1525A-2H-1-A,138,138,9.98,9.98,,,,,,,,,,,,,shell fragment,,gradational boundary or contact,irregular,10-20 cm irregular gradational contact.,,,,374,U1525,A,2,H,1,A,
374-U1525A-2H-2-A,0,150,10.1,11.6,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 35-36, 37-40, 54-56, and 74 cm.",,,,374,U1525,A,2,H,2,A,
374-U1525A-2H-3-A,0,151,11.6,13.11,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 27, 34, 37, 66-67, 78, and 79-80 cm.",,,,374,U1525,A,2,H,3,A,
374-U1525A-2H-4-A,0,146,13.11,14.57,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 19-20, 22, 37-40, 63, and 141 cm.",,,,374,U1525,A,2,H,4,A,
374-U1525A-2H-5-A,0,66,14.62,15.28,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,sharp boundary or contact,irregular,"Lonestone at 6, 20, 36, and 72-75 cm. Irregular sharp color contact at 66-76 cm.",,,,374,U1525,A,2,H,5,A,
374-U1525A-2H-5-A,66,85,15.28,15.47,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,2.5y 5/3 (light olive brown),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,2,H,5,A,
374-U1525A-2H-5-A,85,151,15.47,16.13,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5y 3/2 (very dark grayish brown),,,,,,,,,,,"Metasedimentary, igneous, sedimentary. very stiff.",,,,374,U1525,A,2,H,5,A,
374-U1525A-2H-6-A,0,151,16.13,17.64,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,2,H,6,A,
374-U1525A-2H-6-A,77,79,16.9,16.92,,,,,lens or pod [BJ84],,,,,,,,,,,,Coarse snad pods.,,,,374,U1525,A,2,H,6,A,
