Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
376-U1531B-1R-1-A,25,33,0.25,0.33,1,,,,,polymict,lapilli-tuff,,polymict lapilli-tuff,,GLEY 1 2.5/N (black),welded,,,very large pebble,8,Fragment of 1 large clast with attached clastic and welded (?) matrix;,,,,,poor,,,vitric,lithic,,volcaniclastic,sub-rounded,,,,,volcanic,rounded,,,,,,,,,,,"clast types: 1) two clasts of this type: very large pebble and granule sized clast of moderately vesicular, black and euhedral plag phyric dacite (similar to commonly present dacite); 2) lithic fragment of probably altered volcanic, moderately vesicular, granule sized",vitric,crystal,lithic,poor,75,Glassy matrix with vesicles probably consists of welded ash and contains several <2mm large plagioclase crystals (5-10 vol.%) and subordinate lithic fragments (prob alt. volcanics).,,,,,,,,,,,,,,,,,,376,U1531,B,1,R,1,A
376-U1531B-3R-1-A,0,97,18.3,19.27,1,,,,,polymict,ash,,polymict ash,,GLEY 1 2.5/10Y (greenish black),,sand,3,sand,3,artificial grading from medium to coarse ash.,,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,vitric,crystal,lithic,well,100,"components: 1) black vitric fragments of probably dacite lava, angular 2) crystals, mostly plagioclase, angular 3) lithics, altered volcaniclastics, subangular, different colors",,,,,,,,,,,,,,,,,,376,U1531,B,3,R,1,A
376-U1531B-3R-2-A,0,96,19.27,20.23,1,,,,,polymict,ash,with lapilli,polymict ash with lapilli,,GLEY 1 2.5/10Y (greenish black),,sand,3,granule,4,artificial grading from coarse ash to fine lapilli,,,,,well,,,vitric,,,,,,,,,volcanic,angular,,,,,,,,,,,,vitric,crystal,lithic,well,90,"components: 1) black vitric fragments of probably dacite lava, angular 2) crystals, mostly plagioclase, angular 3) lithics, altered volcaniclastics, subangular, different colors",,,,,,,,,,,,,,,,,,376,U1531,B,3,R,2,A
376-U1531B-3R-3-A,0,140,20.35,21.75,1,,,,,polymict,lapilli tephra,with ash,polymict lapilli tephra with ash,,GLEY 1 2.5/N (black),,medium pebble,6,very large pebble,8,artificial grading from coarse ash to coarse lapilli; very large pebbles between 100-107 cm,,,,,moderate,,,volcanic,lithic,,volcaniclastic,sub-rounded,,,,,volcanic,subangular,,,,,,,,,,,"clast types: 1) moderately vesicular, black and plag phyric dacite; 2) lithic fragments of probably altered volcaniclastics",vitric,crystal,lithic,well,20,"components: 1) black vitric fragments of probably dacite lava, angular 2) crystals, mostly plagioclase, angular 3) lithics, altered volcaniclastics, subangular, different colors",,,,,,,,,,,,,,,,,,376,U1531,B,3,R,3,A
376-U1531B-3R-CC-A,0,22,21.75,21.97,1,,,,,,lapilli tephra,with ash,lapilli tephra with ash,,GLEY 1 2.5/N (black),,medium pebble,6,large pebble,7,,,,,,moderate,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,clasts are typical unaltered plag-phyric vesiular dacite,vitric,crystal,lithic,well,5,"components: 1) black vitric fragments of probably dacite lava, angular 2) crystals, mostly plagioclase, angular 3) lithics, altered volcaniclastics, subangular, different colors",,,,,,,,,,,,,,,,,,376,U1531,B,3,R,CC,A
