Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23
320-U1331A-1H-1-A,320,U1331,A,1,1-1,H,1,A,0,9,0.0,0.09,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians and micronodules,Clay with radiolarians and micronodules,100.0,soft,10YR 4/3,mudline,,
320-U1331A-1H-1-A,320,U1331,A,1,1-1,H,1,A,9,74,0.09,0.74,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians and micronodules,clay with radiolarians and micronodules,100.0,soft,10YR 6/3,,,
320-U1331A-1H-1-A,320,U1331,A,1,1-1,H,1,A,74,85,0.74,0.85,Clay [MMK88],,,with radiolarians,,100.0,firm,10YR 2.5/1,manganese crust-bioturbated,,
320-U1331A-1H-1-A,320,U1331,A,1,1-1,H,1,A,85,150,0.85,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,clay with radiolarians,100.0,soft,10YR 3/3,10YR 3/1 changes gradually to 10YR3/3 from 85 cm to 125 cm (U1331A-1H) with depth due to decrease in micronodule content. Radiolarian-rich intervals (10YR 6/3)  appear as continuous or discrete layers (1-2 cm).,,
320-U1331A-1H-2-A,320,U1331,A,1,1-2,H,2,A,0,150,1.5,3.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,clay with radiolarians,100.0,soft,10YR 3/3,10YR 3/1 changes gradually to 10YR3/3 from 85 cm to 125 cm (U1331A-1H) with depth due to decrease in micronodule content. Radiolarian-rich intervals (10YR 6/3)  appear as continuous or discrete layers (1-2 cm).,,
320-U1331A-1H-3-A,320,U1331,A,1,1-3,H,3,A,0,150,3.0,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100.0,soft,10YR 3/3,10YR 3/1 changes gradually to 10YR3/3 from 85 cm to 125 cm (U1331A-1H) with depth due to decrease in micronodule content. Radiolarian-rich intervals (10YR 6/3)  appear as continuous or discrete layers (1-2 cm).,,
320-U1331A-1H-4-A,320,U1331,A,1,1-4,H,4,A,0,49,4.5,4.99,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,clay with radiolarians,100.0,soft,10YR 3/3,10YR 3/1 changes gradually to 10YR3/3 from 85 cm to 125 cm (U1331A-1H) with depth due to decrease in micronodule content. Radiolarian-rich intervals (10YR 6/3)  appear as continuous or discrete layers (1-2 cm).,,
320-U1331A-1H-CC-A,320,U1331,A,1,1-CC,H,CC,A,0,20,4.99,5.19,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,clay with radiolarians,100.0,soft,10YR 3/3,10YR 3/1 changes gradually to 10YR3/3 from 85 cm to 125 cm (U1331A-1H) with depth due to decrease in micronodule content. Radiolarian-rich intervals (10YR 6/3)  appear as continuous or discrete layers (1-2 cm).,,
320-U1331A-2H-1-A,320,U1331,A,2,2-1,H,1,A,0,80,5.2,6.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100.0,soft,10YR 3/3,,,
320-U1331A-2H-1-A,320,U1331,A,2,2-1,H,1,A,80,123,6.0,6.43,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,100.0,soft,10YR 6/3,,,
