dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Extra Sample ID Data
,344-U1412D-2R-1-A,344,U1412,D,2,2-1,R,1,A,0,100,350.4,351.4,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-2R-2-A,344,U1412,D,2,2-2,R,2,A,0,78,351.4,352.18,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-2R-2-A,344,U1412,D,2,2-2,R,2,A,78,101,352.18,352.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,
,344-U1412D-2R-3-A,344,U1412,D,2,2-3,R,3,A,0,84,352.41,353.25,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,Altered and highly bioturbated zone between 82 and 95 cm contains two tephra layers and abundant pyrite.  Calcite cemented,,,,
,344-U1412D-2R-3-A,344,U1412,D,2,2-3,R,3,A,84,86,353.25,353.27,,,,,tephra [FS84],,N 3 (very dark gray),tephra ,tephra ,,,,,,,,,,,,glass,,,,,,,,,,,
,344-U1412D-2R-3-A,344,U1412,D,2,2-3,R,3,A,86,87,353.27,353.28,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,Altered and highly bioturbated zone between 82 and 95 cm contains two tephra layers and abundant pyrite.  Calcite cemented,,,,
,344-U1412D-2R-3-A,344,U1412,D,2,2-3,R,3,A,87,92,353.28,353.33,,,,,tephra [FS84],,N 3 (very dark gray),tephra ,tephra ,,,,,,,,,,,,glass and pyrite in calcite cemented,,,,,,,,,,,
,344-U1412D-2R-3-A,344,U1412,D,2,2-3,R,3,A,92,150,353.33,353.91,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,Altered and highly bioturbated zone between 82 and 95 cm contains two tephra layers and abundant pyrite.  Calcite cemented,,,,
,344-U1412D-2R-4-A,344,U1412,D,2,2-4,R,4,A,0,144,353.91,355.35,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-2R-4-A,344,U1412,D,2,2-4,R,4,A,144,145,355.35,355.36,,,,,tephra [FS84],,N 3 (very dark gray),tephra ,tephra ,,,,,,,,,,,,glass and pyrite in calcite cemented,,,,,,,,,,,
,344-U1412D-2R-4-A,344,U1412,D,2,2-4,R,4,A,145,150,355.36,355.41,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-2R-5-A,344,U1412,D,2,2-5,R,5,A,0,91,355.41,356.32,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,Void at 91-106 cm due to YAMM sample.,,,,
,344-U1412D-2R-5-A,344,U1412,D,2,2-5,R,5,A,106,131,356.47,356.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,
,344-U1412D-2R-6-A,344,U1412,D,2,2-6,R,6,A,0,120,356.72,357.92,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-2R-CC-A,344,U1412,D,2,2-CC,R,CC,A,0,25,357.92,358.17,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-3R-1-A,344,U1412,D,3,3-1,R,1,A,0,100,359.5,360.5,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-3R-2-A,344,U1412,D,3,3-2,R,2,A,0,61,360.5,361.11,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,,,,,
,344-U1412D-3R-2-A,344,U1412,D,3,3-2,R,2,A,61,91,361.11,361.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,
,344-U1412D-3R-3-A,344,U1412,D,3,3-3,R,3,A,15,61,361.56,362.02,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,Voids at 0-15 cm (HASH sample) and 61-86 cm (IW sample).,,,,
,344-U1412D-3R-4-A,344,U1412,D,3,3-4,R,4,A,10,73,362.37,363,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",,,,,,,,,,,,common [B06],4,Void at 0-10 cm.,,,,
,344-U1412D-3R-5-A,344,U1412,D,3,3-5,R,5,A,0,83,363,363.83,fractured,moderate [drilling disturbance],4,,clay [USGS],with silt [Leg339],5G 3/2 (very dark grayish green),clay ,clay  with silt ,clay [W22_2],1,silt [W22_1],2,"Abundant lithic fragments (clay size), some glass and felsdpar.  All else is rare.  No biogenic except for very rare foram (?) fragments",glass,,,,,,,,,,,common [B06],4,tephra pod at 43 to 47,,,,
,344-U1412D-3R-CC-A,344,U1412,D,3,3-CC,R,CC,A,0,15,363.83,363.98,fractured,moderate [drilling disturbance],4,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,
